"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-10,-5,1.4958033501161e-05,0
10,-10,-4,6.97148832230509e-05,0
10,-10,-3,0.000324751651007987,0
10,-10,-2,0.00150363856783724,0
10,-10,-1,0.00686611580932662,0
10,-10,0,0.0301793411129219,0
10,-10,1,0.117118520798266,0
10,-10,2,0.32418943421039,0
10,-10,3,0.529866948363656,0
10,-10,4,0.563834475919955,0
10,-10,5,0.576715078966121,0.236465931997865
10,-10,6,0.6017204740675,1.28430355478269
10,-10,7,0.617727123220399,3.41873668431817
10,-10,8,0.622096662818529,6.75626743890305
10,-10,9,0.637800547490212,11.3574046142623
10,-10,10,0.639414728349425,17.2273167202034
10,-10,11,0.624669978229075,24.2881968749806
10,-10,12,0.621141132530578,32.4366554053074
10,-10,13,0.626030692354467,41.5681088120233
10,-10,14,0.602420216320355,51.5448261001152
10,-10,15,0.591591975626869,62.2015578265652
10,-10,16,0.550137050484369,73.3560627662893
10,-10,17,0.534788270673472,84.8117768561784
10,-10,18,0.503080724512007,96.3742364801906
10,-10,19,0.465427926714542,107.85228260396
10,-10,20,0.419433576986021,119.058882120076
10,-10,21,0.429861631029024,129.819314436828
10,-10,22,0.253224297974498,139.966486743496
10,-10,23,0.0354248193425871,149.341753277636
10,-10,24,0,157.804862707838
10,-10,25,0,165.235789038301
10,-10,26,0,166.900454961466
10,-10,27,0,163.944923927942
10,-10,28,0,159.023241218578
10,-10,29,0,151.621333420133
10,-10,30,0,143.317621621028
10,-9,-5,1.61048720853271e-05,0
10,-9,-4,7.34642592207147e-05,0
10,-9,-3,0.000337916010580213,0
10,-9,-2,0.00155205208561383,0
10,-9,-1,0.00704941365586886,0
10,-9,0,0.030876577847595,0
10,-9,1,0.119630001168951,0
10,-9,2,0.331412801179208,0
10,-9,3,0.539875631182615,0
10,-9,4,0.575131919804757,0
10,-9,5,0.588531472524254,0.244113389436175
10,-9,6,0.617132264640644,1.32727007579793
10,-9,7,0.625360911045009,3.52477280736249
10,-9,8,0.640958978416612,6.95292203092036
10,-9,9,0.648412452331309,11.6790124405456
10,-9,10,0.642387360833099,17.6860279190711
10,-9,11,0.636307723285116,24.8907270446937
10,-9,12,0.642307673659821,33.2029198063653
10,-9,13,0.643357910163969,42.5111511722604
10,-9,14,0.616191667206605,52.6676085038569
10,-9,15,0.567254975866075,63.5019181332677
10,-9,16,0.561065124720578,74.8235063664067
10,-9,17,0.552025426908043,86.4389357763644
10,-9,18,0.506016215309652,98.1554267589992
10,-9,19,0.467531255855665,109.780867008262
10,-9,20,0.431899108276644,121.132012059629
10,-9,21,0.427796271503271,132.027689219526
10,-9,22,0.247838515445672,142.293477690889
10,-9,23,0.0557609196524576,151.771162246256
10,-9,24,0,160.319280412347
10,-9,25,0,167.818249453298
10,-9,26,0,169.424276712214
10,-9,27,0,166.522360362983
10,-9,28,0,161.426820057208
10,-9,29,0,153.840803722453
10,-9,30,0,145.58072520012
10,-8,-5,1.8055980395165e-05,0
10,-8,-4,7.90802522642748e-05,0
10,-8,-3,0.000355995329334937,0
10,-8,-2,0.00161452432999568,0
10,-8,-1,0.00727455242800423,0
10,-8,0,0.0316949517252223,0
10,-8,1,0.122440858030157,0
10,-8,2,0.339080040280563,0
10,-8,3,0.549831003455627,0
10,-8,4,0.58729958516835,0
10,-8,5,0.607753806205442,0.25270741364149
10,-8,6,0.626396958944154,1.37464299644482
10,-8,7,0.632050429447161,3.64102115309533
10,-8,8,0.654897696540881,7.17074608851698
10,-8,9,0.656861403251777,12.0287772994491
10,-8,10,0.648888800820646,18.1779204384115
10,-8,11,0.650159465889408,25.5391561455749
10,-8,12,0.6629740957757,34.0289849331354
10,-8,13,0.646045416408869,43.5235133378479
10,-8,14,0.608485427652099,53.8679802806368
10,-8,15,0.579704991903582,64.882423191992
10,-8,16,0.585397120998749,76.3779142053264
10,-8,17,0.548685729187746,88.1636201759403
10,-8,18,0.510262200642981,100.045960401115
10,-8,19,0.476702466040352,111.8362131696
10,-8,20,0.454671186399029,123.342042081138
10,-8,21,0.426835540816305,134.376315917421
10,-8,22,0.265173410351648,144.76462464148
10,-8,23,0.0638940141005241,154.346889589447
10,-8,24,0,162.984557798192
10,-8,25,0,170.560442669889
10,-8,26,0,172.112633401812
10,-8,27,0,169.264356541291
10,-8,28,0,163.978009139991
10,-8,29,0,156.234780200996
10,-8,30,0,147.948649180141
10,-7,-5,2.2031080207924e-05,0
10,-7,-4,8.86655405134534e-05,0
10,-7,-3,0.000383175301268571,0
10,-7,-2,0.00170062167579952,0
10,-7,-1,0.00756511942547929,0
10,-7,0,0.032697578292989,0
10,-7,1,0.125684899437029,0
10,-7,2,0.347407816011359,0
10,-7,3,0.559297135204917,0
10,-7,4,0.595426565875379,0
10,-7,5,0.619555492168399,0.262485111774778
10,-7,6,0.635483008208333,1.42743952625824
10,-7,7,0.642650182223663,3.76921382681639
10,-7,8,0.668407795811533,7.41281181450645
10,-7,9,0.662865197021946,12.4090261010406
10,-7,10,0.655546281054705,18.7072827775092
10,-7,11,0.676951191924526,26.2425853782272
10,-7,12,0.673985742862297,34.9228036000277
10,-7,13,0.638289085798106,44.6134951517974
10,-7,14,0.611876484603193,55.1501639442964
10,-7,15,0.609819236270165,66.3519186072389
10,-7,16,0.586976777663435,78.0334888423615
10,-7,17,0.547867998373771,90.0036510189614
10,-7,18,0.520563272224047,102.071155113719
10,-7,19,0.502630934297021,114.035952831676
10,-7,20,0.413310362742422,125.701386239129
10,-7,21,0.440197438072146,136.879046782882
10,-7,22,0.289547180979266,147.393942485823
10,-7,23,0.0709950536905949,157.089973559881
10,-7,24,0,165.825754720043
10,-7,25,0,173.481326181846
10,-7,26,0,174.983379423562
10,-7,27,0,172.161144075002
10,-7,28,0,166.699258119729
10,-7,29,0,158.835707806222
10,-7,30,0,150.494247350612
10,-6,-5,3.19953140762596e-05,0
10,-6,-4,0.0001082097123738,0
10,-6,-3,0.000429683945288172,0
10,-6,-2,0.001830388800237,0
10,-6,-1,0.00796647333686046,0
10,-6,0,0.0339880638930639,0
10,-6,1,0.129569017983677,0
10,-6,2,0.356624967939685,0
10,-6,3,0.568282148493868,0
10,-6,4,0.600302586701666,0
10,-6,5,0.625958477082123,0.27382831762618
10,-6,6,0.643602449554811,1.48665179138269
10,-6,7,0.661989409325199,3.91163742898822
10,-6,8,0.676085680480048,7.6817187393377
10,-6,9,0.667320843167782,12.8225229719278
10,-6,10,0.676092394345671,19.2850197178862
10,-6,11,0.695706954172324,27.0107712788316
10,-6,12,0.670021707379603,35.8928587228099
10,-6,13,0.630306733040747,45.7865907832081
10,-6,14,0.635252608567826,56.5230278932482
10,-6,15,0.622915752717359,67.9260638463788
10,-6,16,0.576554451811673,79.8107384090621
10,-6,17,0.561446166682613,91.9862649476128
10,-6,18,0.545919121828631,104.248709205513
10,-6,19,0.464837490934877,116.394873036717
10,-6,20,0.43289781341858,128.225842859869
10,-6,21,0.450230446606126,139.55540379589
10,-6,22,0.317235949649045,150.208813111122
10,-6,23,0.0775501460418761,160.024978545616
10,-6,24,0,168.8635653073
10,-6,25,0,176.604904760665
10,-6,26,0,178.064313417083
10,-6,27,0,175.256703561325
10,-6,28,0,169.636909822512
10,-6,29,0,161.681481427811
10,-6,30,0,153.238845705514
10,-5,-5,6.20800965265855e-05,0
10,-5,-4,0.000157042556001386,0
10,-5,-3,0.000524514765968632,0
10,-5,-2,0.00205269449195085,0
