"Year","pheno","Predicted"
2020,115,130.375
2024,49,46.3333333333333
2025,64,67.2083333333333
2026,50,46.25
2027,100,92.2083333333333
2028,119,113.083333333333
2029,95,103.083333333333
2030,53,55.375
2032,53,72.2916666666667
2034,109,87
2035,53,55.25
2039,89,80
2040,65,61.4166666666667
2044,93,81.5416666666667
2047,70,69.375
2048,115,114.083333333333
2049,99,96.125
2050,71,71.0416666666667
2051,99,98.0416666666667
2052,116,116.166666666667
2053,112,130.958333333333
2054,94,90.3333333333333
2056,108,117.916666666667
2057,77,70.5833333333333
2058,101,92.9166666666667
2060,66,63.7916666666667
2061,119,81
2063,73,73.0416666666667
2065,140,150.083333333333
2066,97,86.1666666666667
2067,77,84.9166666666667
2072,108,117.333333333333
2073,112,131.083333333333
2076,133,129
2077,108,118.666666666667
2078,97,103
2079,112,116
2081,129,136.333333333333
2082,91,98.9583333333333
2085,70,68.9583333333333
