"Year","pheno","Predicted"
2021,98,84.2083333333333
2024,49,55.5416666666667
2025,64,56.2083333333333
2026,50,52.75
2027,100,98.125
2028,119,113.125
2030,53,50.375
2031,113,111.125
2033,130,120.25
2034,109,111.375
2035,53,47
2038,112,108.333333333333
2039,89,83.2916666666667
2040,65,62.375
2044,93,87.125
2045,67,63.5
2046,113,109.166666666667
2047,70,66.2083333333333
2051,99,91.2916666666667
2052,116,112.333333333333
2053,112,121.208333333333
2054,94,82.0833333333333
2056,108,109
2057,77,88.25
2058,101,95.375
2060,66,59.0833333333333
2062,133,140.5
2063,73,65.375
2066,97,95.3333333333333
2067,77,82.3333333333333
2069,112,112.041666666667
2072,108,109.041666666667
2073,112,120.416666666667
2074,73,78.2083333333333
2075,48,38.2083333333333
2078,97,95.0833333333333
2082,91,95.0416666666667
2083,98,100.916666666667
2084,112,112.208333333333
2085,70,63.625
