"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,83.1338866676343,6523.55359542876,299
"2002/2003",2003,120,120,100,85.2597471660127,3204.45413465486,605
"2003/2004",2004,120,120,100,88.5912436982736,4683.27842978833,226
"2004/2005",2005,121,121,100,83.2957863421129,8046.99138778751,230
"2005/2006",2006,120,120,100,86.1426792396893,5204.54902367643,404
"2006/2007",2007,120,120,100,86.0209645264006,4994.26731789112,291
"2007/2008",2008,120,120,100,85.6067531841472,2623.42982808087,476
"2008/2009",2009,121,121,100,83.573688533887,7391.90185580077,301
"2009/2010",2010,120,120,100,87.6596980981265,5096.35313898895,176
"2010/2011",2011,120,120,100,87.1258520133854,4702.72736469808,244
"2011/2012",2012,120,120,100,77.5335479371142,4922.92704895721,605
"2012/2013",2013,121,121,100,89.388302466399,4262.04109014582,317
"2013/2014",2014,120,120,100,78.1946003341379,3947.35633351665,832
"2014/2015",2015,120,120,100,85.6375609799634,5561.99405982892,305
"2015/2016",2016,120,120,100,82.2560235611768,5527.86958660756,446
"2016/2017",2017,121,121,100,82.7464877807633,6480.59952989942,365
"2017/2018",2018,120,120,100,81.167625968852,4254.88300736202,510
"2018/2019",2019,120,120,100,85.6725360531705,4636.07990989252,389
"2019/2020",2020,120,120,100,83.0094440228827,7482.88750467147,250
"2020/2021",2021,121,121,100,84.1972362063061,3484.76439445303,596
"2021/2022",2022,120,120,100,78.4200106488602,6149.79263748368,460
"2022/2023",2023,120,120,100,89.4071157824733,4741.4031909171,209
"2023/2024",2024,120,120,100,85.4177721030965,7423.50819173036,74
"2024/2025",2025,121,121,100,86.8278612220847,4794.09977416159,246
"2025/2026",2026,120,120,100,75.3304422039432,2767.40114124934,936
"2026/2027",2027,120,120,100,87.1415137404056,6173.78242389648,220
"2027/2028",2028,120,120,100,83.6318246583755,2686.71199270198,534
"2028/2029",2029,121,121,100,84.7175471084056,5822.13915051427,345
"2029/2030",2030,120,120,100,86.4592972208102,4893.24917141977,395
"2030/2031",2031,120,120,100,85.7865349883987,4466.56197182694,388
"2031/2032",2032,120,120,100,88.8533580494768,6232.85522714304,262
"2032/2033",2033,121,121,100,84.5845952482014,3089.33908570837,634
"2033/2034",2034,120,120,100,80.5644584850243,4634.36625654344,510
"2034/2035",2035,120,120,100,82.2820020118506,5209.01445669914,433
"2035/2036",2036,120,120,100,87.8049348144541,4983.01191216381,369
"2036/2037",2037,121,121,100,84.3669488881997,3446.5892558326,565
"2037/2038",2038,120,120,100,83.1901398241998,5900.38360332698,373
"2038/2039",2039,120,120,100,88.9085952600171,7363.83302352298,123
"2039/2040",2040,120,120,100,89.4801417762974,5141.30596397491,145
"2040/2041",2041,121,121,100,89.295063616014,5444.61136603029,214
"2041/2042",2042,120,120,100,82.6801228517461,7967.43853166886,234
"2042/2043",2043,120,120,100,85.1941991819594,2944.42904411489,432
"2043/2044",2044,120,120,100,88.1163923400682,5324.34254669771,200
"2044/2045",2045,121,121,100,82.7986112007738,2746.64731994597,630
"2045/2046",2046,120,120,100,84.2829653374656,5106.86008763919,430
"2046/2047",2047,120,120,100,81.9165074452103,4493.7163555813,572
"2047/2048",2048,120,120,100,89.2283486276219,3644.19088732079,312
"2048/2049",2049,121,121,100,87.3941121567977,3191.7465877831,482
"2049/2050",2050,120,120,100,85.8035625480752,1829.90637640888,475
"2050/2051",2051,120,120,100,84.165997960914,5257.10479011061,282
"2051/2052",2052,120,120,100,84.5121835842365,6748.18379990105,247
"2052/2053",2053,121,121,100,86.2456960102445,6478.57986203581,260
"2053/2054",2054,120,120,100,85.9939369849708,6737.36040802207,180
"2054/2055",2055,120,120,100,87.7000762504822,4187.5269130962,323
"2055/2056",2056,120,120,100,81.5457418684282,6490.07511919923,236
"2056/2057",2057,121,121,100,81.1192716693586,4332.34186848579,529
"2057/2058",2058,120,120,100,88.8267399603556,5435.56876318995,163
"2058/2059",2059,120,120,100,83.2077716973372,2967.63084668573,484
"2059/2060",2060,120,120,100,82.5551417858551,6614.30845668959,399
"2060/2061",2061,121,121,100,80.2335408024483,8087.8856114368,275
"2061/2062",2062,120,120,100,83.5129296649811,2774.24726683088,575
"2062/2063",2063,120,120,100,85.088314179844,3461.29178535007,416
"2063/2064",2064,120,120,100,80.7425085427785,5346.73092754558,578
"2064/2065",2065,121,121,100,87.3149554890479,5187.80331666302,275
"2065/2066",2066,120,120,100,89.6181432857356,4573.65910551883,110
"2066/2067",2067,120,120,100,80.6134619801451,3134.59269495867,706
"2067/2068",2068,120,120,100,82.2350667513965,8421.60878639854,330
"2068/2069",2069,121,121,100,85.2771775151577,4804.30512768403,454
"2069/2070",2070,120,120,100,84.1986915500311,5313.0932965083,413
"2070/2071",2071,120,120,100,86.9407068301462,5165.92594548222,253
"2071/2072",2072,120,120,100,82.2569018242248,4853.22777681984,459
"2072/2073",2073,121,121,100,85.552084588875,8482.28737948742,256
"2073/2074",2074,120,120,100,77.2417780269279,6228.23664003331,556
"2074/2075",2075,120,120,100,81.6860769790655,6903.54380354006,334
"2075/2076",2076,120,120,100,84.9988336865135,7569.32660187595,109
"2076/2077",2077,121,121,100,87.5629638648443,2837.36503892299,467
"2077/2078",2078,120,120,100,85.27219408766,3257.82905229554,498
"2078/2079",2079,120,120,100,85.224829938139,4764.19134027883,324
"2079/2080",2080,120,120,100,84.6621646308613,6842.14595069084,211
"2080/2081",2081,121,121,100,82.209077868074,5979.5399493929,507
"2081/2082",2082,120,120,100,83.7978718509876,5862.11298375577,254
"2082/2083",2083,120,120,100,84.1182847119017,6202.64060782641,290
"2083/2084",2084,120,120,100,85.0279643172144,3785.92977111042,382
"2084/2085",2085,121,121,100,84.4206738777048,4137.22940157074,408
"2085/2086",2086,120,120,100,83.4047508579406,4943.96938291937,441
"2086/2087",2087,120,120,100,86.020696040745,3938.66516943369,351
"2087/2088",2088,120,120,100,82.0987970043461,4870.98355227243,558
"2088/2089",2089,121,121,100,85.8692955373863,4617.91815948952,386
"2089/2090",2090,120,120,100,84.681983441893,3258.21387004666,477
"2090/2091",2091,120,120,100,83.0748718977611,4435.84808996227,545
"2091/2092",2092,120,120,100,86.882671762085,3083.60157006606,371
"2092/2093",2093,121,121,100,85.6642754428976,6244.35615496896,368
"2093/2094",2094,120,120,100,80.3312151539649,5771.14271452837,534
"2094/2095",2095,120,120,100,87.3341661894647,4324.76014292892,263
"2095/2096",2096,120,120,100,84.0781290130908,6870.55976368673,148
"2096/2097",2097,121,121,100,76.1144315590336,7990.6267329827,307
"2097/2098",2098,120,120,100,82.1782896000423,4670.22883469611,514
"2098/2099",2099,120,120,100,83.7255988133384,4830.44956382364,354
"2099/2100",2100,120,120,100,89.8628445653685,5012.27835072391,121
"2100/2101",2101,120,120,100,84.0576591107001,5784.54190727603,394
