"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,82.1032037104358,5056.3458942353,552
"2002/2003",2003,120,120,100,79.6680175843765,2036.44409062677,838
"2003/2004",2004,120,120,100,87.2725165689238,3011.8117171117,464
"2004/2005",2005,121,121,100,87.3463515331217,5441.28394090035,370
"2005/2006",2006,120,120,100,83.8704710473085,3616.33868839545,524
"2006/2007",2007,120,120,100,83.3435473708479,3669.45400324545,565
"2007/2008",2008,120,120,100,79.6454057639345,1705.35363346682,694
"2008/2009",2009,121,121,100,83.9333212040017,5115.55876038806,459
"2009/2010",2010,120,120,100,88.1478078941709,3100.3195214466,283
"2010/2011",2011,120,120,100,86.0239993765799,3002.96165189706,420
"2011/2012",2012,120,120,100,74.7793110131408,3626.5064145627,853
"2012/2013",2013,121,121,100,86.6891817430526,2869.00733560417,492
"2013/2014",2014,120,120,100,74.3865955441995,3262.0841401763,1131
"2014/2015",2015,120,120,100,81.4886641584415,4205.83038498799,492
"2015/2016",2016,120,120,100,80.1309209600972,3920.0567939023,632
"2016/2017",2017,121,121,100,81.493587841604,5017.91502759745,615
"2017/2018",2018,120,120,100,78.1572966862027,3236.8071015547,759
"2018/2019",2019,120,120,100,84.005655679533,3249.06126261177,602
"2019/2020",2020,120,120,100,86.2505768593037,5146.67233658978,394
"2020/2021",2021,121,121,100,81.629066009933,2371.02819686057,852
"2021/2022",2022,120,120,100,74.5121333753495,5048.01869437797,712
"2022/2023",2023,120,120,100,86.7104169322192,3329.92599857575,357
"2023/2024",2024,120,120,100,85.7612873945159,5430.7473573091,243
"2024/2025",2025,121,121,100,85.234905737505,2999.01697004936,446
"2025/2026",2026,120,120,100,73.28420071753,1923.60017197533,1203
"2026/2027",2027,120,120,100,86.4260145571516,4387.54930768232,396
"2027/2028",2028,120,120,100,80.7270511791235,1543.46000140347,829
"2028/2029",2029,121,121,100,82.4259490995059,4445.35213116277,564
"2029/2030",2030,120,120,100,82.4509632210993,3659.07912795665,709
"2030/2031",2031,120,120,100,83.9522324190812,3193.7332082577,620
"2031/2032",2032,120,120,100,87.3772365300638,4259.29010012117,430
"2032/2033",2033,121,121,100,79.7648742898082,1980.979143793,851
"2033/2034",2034,120,120,100,76.748892703733,3671.02271483233,780
"2034/2035",2035,120,120,100,77.087387481829,4167.01268940698,729
"2035/2036",2036,120,120,100,82.8956597019023,3614.48202162189,584
"2036/2037",2037,121,121,100,80.5051062472994,2324.41174275428,828
"2037/2038",2038,120,120,100,82.2390512976299,4214.92011441523,498
"2038/2039",2039,120,120,100,87.4357320407762,5209.47921690391,248
"2039/2040",2040,120,120,100,84.3789081260747,3937.35783633823,382
"2040/2041",2041,121,121,100,87.8542769465184,3807.5421181256,366
"2041/2042",2042,120,120,100,85.3392171563255,5663.68055688031,357
"2042/2043",2043,120,120,100,81.0834266381426,2011.27276900737,827
"2043/2044",2044,120,120,100,86.8996643739238,3631.36820609542,341
"2044/2045",2045,121,121,100,80.0295843014701,2013.74544911692,888
"2045/2046",2046,120,120,100,79.0928551441702,4046.54308080906,702
"2046/2047",2047,120,120,100,80.5036680893672,3286.83326747734,698
"2047/2048",2048,120,120,100,84.9409768523719,2374.41844978929,558
"2048/2049",2049,121,121,100,80.8995367223397,2215.77395839896,792
"2049/2050",2050,120,120,100,81.1694816207419,1136.18152956292,808
"2050/2051",2051,120,120,100,80.4918723579967,4207.73855931219,595
"2051/2052",2052,120,120,100,80.9820352395172,5187.67098615551,416
"2052/2053",2053,121,121,100,84.5627160316171,4634.59395661578,373
