"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,79.5273299279494,6065.69034230892,484
"2002/2003",2003,120,120,100,82.8737824846225,2421.4941080479,761
"2003/2004",2004,120,120,100,87.1608289345241,3803.64075119473,397
"2004/2005",2005,121,121,100,85.9843817109315,6352.75349343757,331
"2005/2006",2006,120,120,100,83.671709991075,4357.92060768604,474
"2006/2007",2007,120,120,100,82.8744702013186,4587.42652956804,512
"2007/2008",2008,120,120,100,81.1809660379406,2223.0410129049,625
"2008/2009",2009,121,121,100,85.1667809075402,5851.40815156163,403
"2009/2010",2010,120,120,100,88.6555696670705,3720.50829575385,240
"2010/2011",2011,120,120,100,85.2615212054329,3801.42100767896,390
"2011/2012",2012,120,120,100,77.663678990679,4219.76112104463,773
"2012/2013",2013,121,121,100,86.6580031401134,3666.62857170147,461
"2013/2014",2014,120,120,100,71.9659069985858,4133.15464325866,1084
"2014/2015",2015,120,120,100,81.0388611494661,5173.86400555656,448
"2015/2016",2016,120,120,100,79.0323717228089,4701.73558212188,567
"2016/2017",2017,121,121,100,78.6155303650785,5917.99114255956,535
"2017/2018",2018,120,120,100,77.7248191018866,3986.29533466604,701
"2018/2019",2019,120,120,100,82.4467442343825,4083.44454077282,536
"2019/2020",2020,120,120,100,83.9910912549672,6045.66841608193,339
"2020/2021",2021,121,121,100,81.7397527988223,2952.75285999617,776
"2021/2022",2022,120,120,100,73.2426726829517,6039.61475133453,674
"2022/2023",2023,120,120,100,86.1386946512621,4152.69669135497,342
"2023/2024",2024,120,120,100,86.5902801604425,6518.33030033554,222
"2024/2025",2025,121,121,100,86.5302433540528,3581.82164039812,379
"2025/2026",2026,120,120,100,73.6457504742762,2395.58973460644,1106
"2026/2027",2027,120,120,100,86.2091211238589,5290.27105781063,339
"2027/2028",2028,120,120,100,81.1317501145732,1945.99133090698,751
"2028/2029",2029,121,121,100,81.9771054018397,5336.400276531,524
"2029/2030",2030,120,120,100,83.2433969208146,4377.67211970617,629
"2030/2031",2031,120,120,100,84.7827137179129,3850.56174572231,558
"2031/2032",2032,120,120,100,86.0775465302477,5174.05232842988,393
"2032/2033",2033,121,121,100,81.1687127930827,2454.62229056889,769
"2033/2034",2034,120,120,100,75.5939067425261,4517.17000665888,739
"2034/2035",2035,120,120,100,76.740281836649,5040.45950785745,685
"2035/2036",2036,120,120,100,82.8988815164148,4513.28928451426,538
"2036/2037",2037,121,121,100,82.0065587520376,2990.99094768427,760
"2037/2038",2038,120,120,100,81.6719850306008,5096.97169299237,471
"2038/2039",2039,120,120,100,88.7396151954981,6213.45658617094,224
"2039/2040",2040,120,120,100,83.7029254675381,4906.09972365107,346
"2040/2041",2041,121,121,100,88.2215246891801,4473.89957137173,320
"2041/2042",2042,120,120,100,83.1003974909936,6807.55559309991,331
"2042/2043",2043,120,120,100,83.4912581904237,2384.3364444538,739
"2043/2044",2044,120,120,100,87.4806552205337,4471.78863189835,302
"2044/2045",2045,121,121,100,80.1398361182173,2632.9131844989,827
"2045/2046",2046,120,120,100,78.4078988281817,4961.37857616041,650
"2046/2047",2047,120,120,100,80.84806689989,4060.34171244036,672
"2047/2048",2048,120,120,100,87.190337862894,3040.09802270401,468
"2048/2049",2049,121,121,100,83.6189966397687,2805.88018885022,695
"2049/2050",2050,120,120,100,82.7682821573717,1587.73991174996,708
"2050/2051",2051,120,120,100,76.8307439716409,5213.48035568325,526
"2051/2052",2052,120,120,100,79.9149504399993,6295.53711240971,381
"2052/2053",2053,121,121,100,84.6482466070574,5465.84100151667,348
"2053/2054",2054,120,120,100,84.9782618678173,5622.61641935864,307
"2054/2055",2055,120,120,100,83.8699122380895,3915.61874639848,510
"2055/2056",2056,120,120,100,75.7496879575801,6385.29171055835,391
"2056/2057",2057,121,121,100,78.3415861348858,3603.81481437059,688
"2057/2058",2058,120,120,100,86.2154920446528,4521.55539152864,279
"2058/2059",2059,120,120,100,79.4422276324649,2846.65124302823,786
"2059/2060",2060,120,120,100,78.7300290699768,6065.10368226981,541
"2060/2061",2061,121,121,100,78.0464068864385,7268.89167802734,442
"2061/2062",2062,120,120,100,80.3957391112308,2058.1280683782,707
"2062/2063",2063,120,120,100,83.2187194860089,2759.92494615121,584
"2063/2064",2064,120,120,100,81.0841168055595,4054.66076944442,677
"2064/2065",2065,121,121,100,88.6181927395501,3817.75741565879,352
"2065/2066",2066,120,120,100,90.1631611753273,3839.48448615894,272
