"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.8684288141235,4685.02539601454,582
"2002/2003",2003,120,120,100,80.0458206593262,1833.12339743991,859
"2003/2004",2004,120,120,100,87.1472166454575,2828.75181583656,497
"2004/2005",2005,121,121,100,87.2719590690905,5212.79369099211,409
"2005/2006",2006,120,120,100,84.3734077427066,3325.51550146425,541
"2006/2007",2007,120,120,100,83.3136337313842,3475.52021910716,605
"2007/2008",2008,120,120,100,77.8315913550184,1565.15726646536,739
"2008/2009",2009,121,121,100,83.934450204325,4781.33977681759,477
"2009/2010",2010,120,120,100,86.6160477832295,2847.86338162958,310
"2010/2011",2011,120,120,100,84.8064739381418,2817.79833177698,454
"2011/2012",2012,120,120,100,75.7352592286088,3276.76365984045,890
"2012/2013",2013,121,121,100,86.0648918645386,2710.63533715624,525
"2013/2014",2014,120,120,100,73.8817176300909,3078.22611807159,1156
"2014/2015",2015,120,120,100,81.4827105183447,3967.27451724524,507
"2015/2016",2016,120,120,100,81.5605629234419,3672.17693653936,657
"2016/2017",2017,121,121,100,80.0323880531232,4765.1541665555,647
"2017/2018",2018,120,120,100,77.7726476241678,2978.34557043016,792
"2018/2019",2019,120,120,100,81.8797294419796,3091.20430093771,666
"2019/2020",2020,120,120,100,84.8313627425391,4923.98794203764,423
"2020/2021",2021,121,121,100,81.350033285848,2202.49290202977,900
"2021/2022",2022,120,120,100,74.721102292764,4841.43233995279,738
"2022/2023",2023,120,120,100,87.8520785480173,3008.65734303417,379
"2023/2024",2024,120,120,100,85.8189504510287,5162.26421499322,270
"2024/2025",2025,121,121,100,85.374011603194,2810.62510947697,489
"2025/2026",2026,120,120,100,71.4989805287105,1904.80391386664,1269
"2026/2027",2027,120,120,100,85.3736023694437,4170.63805074524,447
"2027/2028",2028,120,120,100,80.3289610801471,1393.53977188398,865
"2028/2029",2029,121,121,100,82.7491799191916,4147.48188183014,615
"2029/2030",2030,120,120,100,81.2593866592133,3452.91385334008,735
"2030/2031",2031,120,120,100,83.9162118714166,2957.31191324838,637
"2031/2032",2032,120,120,100,86.6250332680884,4016.8093237232,463
"2032/2033",2033,121,121,100,80.2135021619733,1827.84997517453,892
"2033/2034",2034,120,120,100,77.3159846555154,3466.36047186959,823
"2034/2035",2035,120,120,100,76.4011488666265,3958.72961817728,775
"2035/2036",2036,120,120,100,83.3655146751807,3418.63469127985,638
"2036/2037",2037,121,121,100,80.3121119717807,2244.66593218548,883
"2037/2038",2038,120,120,100,82.7168177344784,3878.12616848294,528
"2038/2039",2039,120,120,100,88.9487496642832,4860.94284802582,264
