"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.668798428258,6546.40579387452,451
"2002/2003",2003,120,120,100,82.6318286994155,2766.24928725384,716
"2003/2004",2004,120,120,100,89.8023814953626,4053.48872892701,300
"2004/2005",2005,121,121,100,86.9300549875219,6813.33980459464,269
"2005/2006",2006,120,120,100,84.135715616566,4837.13534613309,441
"2006/2007",2007,120,120,100,84.1132309662146,4806.37442874321,440
"2007/2008",2008,120,120,100,83.3958317253589,2393.69839671551,550
"2008/2009",2009,121,121,100,83.8033357639695,6432.02420867153,378
"2009/2010",2010,120,120,100,88.1553591580682,4177.82536309445,207
"2010/2011",2011,120,120,100,85.5056401183906,4116.24750943517,344
"2011/2012",2012,120,120,100,76.273508198065,4676.78689111862,719
"2012/2013",2013,121,121,100,86.8329623480861,3921.79616876028,397
"2013/2014",2014,120,120,100,74.0353814483988,4315.79987814894,1021
"2014/2015",2015,120,120,100,81.4466052044152,5456.07391871768,417
"2015/2016",2016,120,120,100,80.2445529213308,5152.47432456526,534
"2016/2017",2017,121,121,100,79.124024685666,6244.23135424149,469
"2017/2018",2018,120,120,100,78.5621467480946,4235.78454891732,629
"2018/2019",2019,120,120,100,84.1739045223535,4358.29174191714,470
"2019/2020",2020,120,120,100,84.414359787494,6528.62480165949,299
"2020/2021",2021,121,121,100,82.5226161617725,3267.27300653746,709
"2021/2022",2022,120,120,100,76.5177264078943,6288.98631544039,618
"2022/2023",2023,120,120,100,87.749863033971,4577.0344519678,291
"2023/2024",2024,120,120,100,86.248497332333,6868.42090481753,162
"2024/2025",2025,121,121,100,87.2902933186306,3913.05749834003,335
"2025/2026",2026,120,120,100,74.4804221411018,2414.86797136022,1030
"2026/2027",2027,120,120,100,86.1989681490459,5691.21659867512,284
"2027/2028",2028,120,120,100,81.7036995613962,2238.40561294998,699
"2028/2029",2029,121,121,100,82.2972646924986,5698.55169024505,463
"2029/2030",2030,120,120,100,81.4807135773749,4709.11102530966,543
"2030/2031",2031,120,120,100,86.5433496999904,4218.57035931223,522
"2031/2032",2032,120,120,100,85.8866557064875,5590.87076991331,347
"2032/2033",2033,121,121,100,82.9783172785756,2715.17680094298,719
"2033/2034",2034,120,120,100,77.0184426220767,4708.11594289541,655
"2034/2035",2035,120,120,100,78.9780537690385,5319.70932094147,564
"2035/2036",2036,120,120,100,84.5402019301036,4753.97516701464,467
"2036/2037",2037,121,121,100,82.9732488289046,3199.37904523034,679
"2037/2038",2038,120,120,100,80.0171030940455,5549.49038169999,416
"2038/2039",2039,120,120,100,88.7612612823696,6717.27586856484,195
"2039/2040",2040,120,120,100,85.1010254318489,5171.35027942108,287
"2040/2041",2041,121,121,100,87.3867222756317,4989.39370110445,276
"2041/2042",2042,120,120,100,83.3932600486814,7394.01248466643,314
"2042/2043",2043,120,120,100,83.0467919253861,2765.07918193145,650
"2043/2044",2044,120,120,100,88.3770936763603,4893.56458721356,276
"2044/2045",2045,121,121,100,80.3912173273784,2869.20863688691,754
"2045/2046",2046,120,120,100,79.2546171552731,5169.72175858635,598
"2046/2047",2047,120,120,100,79.3495523625206,4444.86895921826,638
"2047/2048",2048,120,120,100,86.764802029239,3392.82958475919,407
"2048/2049",2049,121,121,100,83.2460975585136,3137.8604141525,652
"2049/2050",2050,120,120,100,82.7619160985496,1705.22224171599,621
"2050/2051",2051,120,120,100,78.6276819900422,5318.70127593866,429
"2051/2052",2052,120,120,100,81.5210410896607,6585.74270595191,335
"2052/2053",2053,121,121,100,83.7037803306748,5890.22133070743,310
"2053/2054",2054,120,120,100,83.7147676975301,6192.45695524104,270
"2054/2055",2055,120,120,100,84.8253337871465,4221.95361889713,438
"2055/2056",2056,120,120,100,76.6904864083126,6557.53501414973,343
"2056/2057",2057,121,121,100,81.3762270070538,3813.92144491058,626
"2057/2058",2058,120,120,100,85.331490949774,5012.83218231518,242
"2058/2059",2059,120,120,100,80.1319261531789,3069.33073260635,687
"2059/2060",2060,120,120,100,78.4412008474865,6493.45812883927,517
"2060/2061",2061,121,121,100,79.4083029605681,7698.43743782584,392
"2061/2062",2062,120,120,100,79.4055793074385,2373.84184968844,675
"2062/2063",2063,120,120,100,83.5367093246914,3137.5001431657,535
"2063/2064",2064,120,120,100,81.5304507788569,4662.93540614564,609
"2064/2065",2065,121,121,100,88.8177624726413,4183.09347322583,297
"2065/2066",2066,120,120,100,90.7485150287066,4215.18127958663,235
"2066/2067",2067,120,120,100,79.2109144623282,2778.88895845227,786
"2067/2068",2068,120,120,100,85.2627128298791,7322.58710890356,397
"2068/2069",2069,121,121,100,83.3000396039788,4505.77980148885,546
"2069/2070",2070,120,120,100,83.7384454644071,4741.30796655547,492
"2070/2071",2071,120,120,100,83.5335326574204,4915.04892689735,326
"2071/2072",2072,120,120,100,79.5663003866011,4515.26324320119,666
"2072/2073",2073,121,121,100,86.016874906165,7635.04682492279,291
"2073/2074",2074,120,120,100,73.8456605984102,6377.19056730345,690
"2074/2075",2075,120,120,100,82.8499981120494,6433.25720032305,425
"2075/2076",2076,120,120,100,85.3576283662624,6614.37847879343,173
"2076/2077",2077,121,121,100,84.4097094812987,2603.46063603926,590
"2077/2078",2078,120,120,100,84.6148093989686,2766.8546100026,558
"2078/2079",2079,120,120,100,83.7118159580168,4194.1141693024,406
"2079/2080",2080,120,120,100,87.5425763562689,5537.43686448131,215
"2080/2081",2081,121,121,100,80.2993851248248,5721.64890553802,615
"2081/2082",2082,120,120,100,80.5225837414819,5774.99465592299,367
"2082/2083",2083,120,120,100,82.9584663759051,5936.92446493264,417
"2083/2084",2084,120,120,100,84.2756060732336,3179.99480352178,493
"2084/2085",2085,121,121,100,81.4135909292272,4026.68316617142,559
"2085/2086",2086,120,120,100,81.8443605006341,4802.24148485065,590
"2086/2087",2087,120,120,100,83.3868187617772,3900.30349687487,548
