"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.0707197514087,5180.8157261058,548
"2002/2003",2003,120,120,100,80.3146705092268,2170.91281202932,830
"2003/2004",2004,120,120,100,88.0256755324768,3117.18228960913,455
"2004/2005",2005,121,121,100,87.4306929831076,5506.37948697581,359
"2005/2006",2006,120,120,100,84.2257426047947,3696.0856575708,523
"2006/2007",2007,120,120,100,82.7275494351084,3792.96421122691,551
"2007/2008",2008,120,120,100,79.9918879762541,1810.98823822651,698
"2008/2009",2009,121,121,100,84.7318909501826,5197.96348447929,452
"2009/2010",2010,120,120,100,87.9606118298377,3153.41160739888,271
"2010/2011",2011,120,120,100,85.615711434109,3090.48604671552,418
"2011/2012",2012,120,120,100,76.4864628084108,3662.00599438418,836
"2012/2013",2013,121,121,100,86.4602623885087,2980.33688107796,490
"2013/2014",2014,120,120,100,73.948073927188,3308.89506268653,1128
"2014/2015",2015,120,120,100,82.2022925128722,4315.65578812582,488
"2015/2016",2016,120,120,100,82.0516697262547,3948.49976977543,620
"2016/2017",2017,121,121,100,79.7396169136832,5171.3537809772,605
"2017/2018",2018,120,120,100,79.9878948229884,3261.47499065567,752
"2018/2019",2019,120,120,100,83.3730774723867,3343.72891676496,587
"2019/2020",2020,120,120,100,86.2393499652244,5269.59439795604,390
"2020/2021",2021,121,121,100,81.4038645581877,2441.27717629471,838
"2021/2022",2022,120,120,100,76.2578394335183,5065.76721152174,698
"2022/2023",2023,120,120,100,87.6805469900614,3365.99742889078,341
"2023/2024",2024,120,120,100,85.0577095432018,5587.40683009848,239
"2024/2025",2025,121,121,100,85.5041181640945,3149.73642835091,452
"2025/2026",2026,120,120,100,72.622805787154,2042.049211398,1198
"2026/2027",2027,120,120,100,86.0641955505725,4542.05290531996,400
"2027/2028",2028,120,120,100,79.7654750647721,1526.68468291382,781
"2028/2029",2029,121,121,100,81.6803875081337,4483.52125618141,550
"2029/2030",2030,120,120,100,82.014985557063,3858.33641459816,697
"2030/2031",2031,120,120,100,83.2001871562861,3373.89704381628,625
"2031/2032",2032,120,120,100,85.4420898487688,4344.58174051065,425
"2032/2033",2033,121,121,100,80.3850850807239,2071.83909594011,845
"2033/2034",2034,120,120,100,78.4343694577819,3698.89546106453,764
"2034/2035",2035,120,120,100,76.7543658057484,4272.83594240993,710
"2035/2036",2036,120,120,100,84.1717007213174,3741.73997748503,576
"2036/2037",2037,121,121,100,81.3233772437889,2377.25872781873,812
"2037/2038",2038,120,120,100,83.4780884396005,4215.2216800726,484
"2038/2039",2039,120,120,100,88.5915411361702,5399.30869645113,247
"2039/2040",2040,120,120,100,85.031388957641,4070.78485039389,380
"2040/2041",2041,121,121,100,88.4042058970745,3906.11141509609,360
"2041/2042",2042,120,120,100,86.1473809289291,5697.21633028612,341
"2042/2043",2043,120,120,100,81.5836243486001,2074.56657908438,812
"2043/2044",2044,120,120,100,86.8302830008715,3662.72544998815,326
"2044/2045",2045,121,121,100,80.1304978258304,2040.55744442996,877
"2045/2046",2046,120,120,100,79.9207362900452,4099.20950258849,689
"2046/2047",2047,120,120,100,81.2297044859906,3350.54498761939,690
"2047/2048",2048,120,120,100,84.7958692273914,2412.05641737673,542
"2048/2049",2049,121,121,100,82.0703174013743,2316.94904795336,767
"2049/2050",2050,120,120,100,80.9655613258028,1196.50078727724,797
"2050/2051",2051,120,120,100,80.0237327952027,4336.39035004564,583
"2051/2052",2052,120,120,100,80.7845925242382,5363.12055989774,425
"2052/2053",2053,121,121,100,84.2192981636163,4832.45693317754,376
"2053/2054",2054,120,120,100,85.8782867271102,4798.74992719479,335
"2054/2055",2055,120,120,100,83.843864372926,3143.74018885102,540
"2055/2056",2056,120,120,100,75.2215868440699,5506.14070482738,485
"2056/2057",2057,121,121,100,78.6138435816893,2998.11744460464,730
"2057/2058",2058,120,120,100,87.2117575099683,3813.40194306243,325
"2058/2059",2059,120,120,100,79.0056788878801,2253.96621003561,811
"2059/2060",2060,120,120,100,80.3060421667524,4998.21555604925,561
"2060/2061",2061,121,121,100,81.101996438616,6137.86176005052,457
"2061/2062",2062,120,120,100,78.9051402411951,1759.75624731742,803
"2062/2063",2063,120,120,100,81.8964839164873,2545.92357386462,696
"2063/2064",2064,120,120,100,80.2174350836249,3486.48613080848,744
"2064/2065",2065,121,121,100,87.0843083512627,3372.78556575067,447
"2065/2066",2066,120,120,100,89.7523933289449,3158.77009439748,315
"2066/2067",2067,120,120,100,78.6187411317478,2051.07038214104,916
"2067/2068",2068,120,120,100,85.7745649521985,5816.73129888671,436
"2068/2069",2069,121,121,100,83.6961599492515,3455.23035014048,660
"2069/2070",2070,120,120,100,84.0150346740375,3520.24188295938,543
"2070/2071",2071,120,120,100,83.8559885464001,4133.16078515816,465
"2071/2072",2072,120,120,100,77.5850611309197,3588.87605777849,734
"2072/2073",2073,121,121,100,85.1005735000308,6151.44499284308,344
"2073/2074",2074,120,120,100,73.863386011315,5251.52065803483,765
"2074/2075",2075,120,120,100,81.0897444057391,5353.13765894435,539
"2075/2076",2076,120,120,100,87.5741766081992,5217.80302839354,233
"2076/2077",2077,121,121,100,82.389666667028,2051.70361242909,752
"2077/2078",2078,120,120,100,83.508243307253,2004.314242322,695
"2078/2079",2079,120,120,100,84.5790775106416,3109.50624585617,468
"2079/2080",2080,120,120,100,85.9523004429811,4488.94701765943,318
"2080/2081",2081,121,121,100,82.3901568507936,4187.98777942732,659
"2081/2082",2082,120,120,100,81.2789594461792,4430.58985765092,426
"2082/2083",2083,120,120,100,84.3539723370395,4599.61942024902,505
"2083/2084",2084,120,120,100,82.2847942749704,2540.2258387031,619
"2084/2085",2085,121,121,100,80.1393551896253,3031.72831761651,664
"2085/2086",2086,120,120,100,83.5401050815508,3541.30014889408,661
"2086/2087",2087,120,120,100,81.6137540335058,2937.8800545102,642
"2087/2088",2088,120,120,100,80.1001163140518,3537.36879517883,708
"2088/2089",2089,121,121,100,84.9957464411291,3388.6767762145,609
"2089/2090",2090,120,120,100,84.7247113714129,2081.20302343648,661
"2090/2091",2091,120,120,100,81.0279860593364,3232.07468240336,828
"2091/2092",2092,120,120,100,83.4724299084282,2048.34206092637,658
"2092/2093",2093,121,121,100,84.6280104262223,4711.95024964586,536
"2093/2094",2094,120,120,100,78.676302608128,4504.18605931476,863
"2094/2095",2095,120,120,100,86.0666436090505,2825.59861677699,497
"2095/2096",2096,120,120,100,82.7949150597597,5433.30286309682,315
"2096/2097",2097,121,121,100,70.6709577085894,6857.78220034763,646
"2097/2098",2098,120,120,100,78.1113224908731,3629.02588941343,819
"2098/2099",2099,120,120,100,84.6357559686076,3478.76025100891,532
"2099/2100",2100,120,120,100,86.2416310655753,3649.61696118303,273
"2100/2101",2101,120,120,100,84.3602931892146,3871.17823886219,554
