"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,78.9911060822666,8153.70196567675,278
"2002/2003",2003,120,120,100,85.2179139781671,3847.64024257759,515
"2003/2004",2004,120,120,100,88.7657579067229,5779.91307438072,182
"2004/2005",2005,121,121,100,83.1852666008787,9095.64614443324,146
"2005/2006",2006,120,120,100,82.5762588956175,6261.51913477073,380
"2006/2007",2007,120,120,100,84.3369787552326,6325.36229631014,254
"2007/2008",2008,120,120,100,86.3711058443582,3412.61926579819,426
"2008/2009",2009,121,121,100,83.1509832517531,8289.26981705776,213
"2009/2010",2010,120,120,100,89.3679404292423,5791.60713672976,109
"2010/2011",2011,120,120,100,87.8357709462562,5743.65636558784,216
"2011/2012",2012,120,120,100,77.1686352036759,5779.16920017509,511
"2012/2013",2013,121,121,100,89.0297318705591,5382.52312268782,281
"2013/2014",2014,120,120,100,75.4861287105309,5326.82265246182,773
"2014/2015",2015,120,120,100,84.0054969166204,7038.25529004564,278
"2015/2016",2016,120,120,100,82.9758959846904,6538.79925108911,393
"2016/2017",2017,121,121,100,80.3789496143818,7969.33651544247,307
"2017/2018",2018,120,120,100,80.6820579185955,5382.95143354731,468
"2018/2019",2019,120,120,100,85.5488073507427,5861.40148885595,302
"2019/2020",2020,120,120,100,83.393187949348,8647.08649924211,201
"2020/2021",2021,121,121,100,84.3896467994759,4255.12155650626,466
"2021/2022",2022,120,120,100,74.1311841905253,7595.87856550608,408
"2022/2023",2023,120,120,100,89.3179816887473,5906.64875421696,166
"2023/2024",2024,120,120,100,83.6549992824062,9008.32545892429,62
"2024/2025",2025,121,121,100,88.4660367710912,5650.85968330526,192
"2025/2026",2026,120,120,100,75.9779944217935,3536.7236327664,851
"2026/2027",2027,120,120,100,84.6430881279402,7536.13512599771,187
"2027/2028",2028,120,120,100,85.5929866156462,3116.35183795169,433
"2028/2029",2029,121,121,100,81.6088366511985,7047.46837492799,304
"2029/2030",2030,120,120,100,83.6021469122702,6148.68858553981,329
"2030/2031",2031,120,120,100,84.9486547072165,5529.18863290315,344
"2031/2032",2032,120,120,100,87.0050618931768,7408.75361101702,206
"2032/2033",2033,121,121,100,85.9012519897187,3825.76418017596,508
"2033/2034",2034,120,120,100,79.4740605847192,5860.12266773172,458
"2034/2035",2035,120,120,100,79.0318682820098,6628.93044431461,392
"2035/2036",2036,120,120,100,84.6048520712029,6419.20011432515,333
"2036/2037",2037,121,121,100,85.2827194940592,4311.94282177603,458
"2037/2038",2038,120,120,100,81.8042538176878,7050.27228806447,315
"2038/2039",2039,120,120,100,87.0324916729824,8934.64574836008,92
"2039/2040",2040,120,120,100,84.457424536402,6677.09813242592,128
"2040/2041",2041,121,121,100,88.2558198257084,6499.33965395717,172
"2041/2042",2042,120,120,100,79.4801248340564,9498.60692490032,219
"2042/2043",2043,120,120,100,85.1708579906126,3525.27369610826,348
"2043/2044",2044,120,120,100,88.0098314676643,6452.77817606321,174
"2044/2045",2045,121,121,100,82.9106639796228,3696.18832240114,593
"2045/2046",2046,120,120,100,82.049712489692,6439.25750817871,374
"2046/2047",2047,120,120,100,81.2877578294065,5627.19922146434,530
"2047/2048",2048,120,120,100,90.0536662619079,4546.05497431569,246
"2048/2049",2049,121,121,100,87.2014073474766,4066.44733503833,370
"2049/2050",2050,120,120,100,87.8018707442461,2482.5634899945,384
"2050/2051",2051,120,120,100,78.9385682702441,6795.67285900749,256
"2051/2052",2052,120,120,100,79.4155588660706,8455.46052882914,234
"2052/2053",2053,121,121,100,83.3395624144141,7842.14967864938,233
"2053/2054",2054,120,120,100,86.1137624424191,7882.6399759124,149
"2054/2055",2055,120,120,100,86.364485232144,5494.3419948006,298
"2055/2056",2056,120,120,100,78.0283605022087,7984.61063877586,193
"2056/2057",2057,121,121,100,81.1163105033611,5317.69648239249,440
"2057/2058",2058,120,120,100,87.5152656221408,6484.32601271383,137
"2058/2059",2059,120,120,100,83.7843374216836,3942.5738664465,424
"2059/2060",2060,120,120,100,81.1084593105916,8041.68534062896,348
"2060/2061",2061,121,121,100,79.3473634035163,9552.96231685672,205
"2061/2062",2062,120,120,100,84.579160822529,3213.89775575884,448
"2062/2063",2063,120,120,100,86.8598408076668,4106.52457045484,317
"2063/2064",2064,120,120,100,81.9068064944549,5868.74455372058,444
"2064/2065",2065,121,121,100,88.2973208273288,5945.47008141503,184
"2065/2066",2066,120,120,100,91.803125520195,5744.24484192207,69
"2066/2067",2067,120,120,100,81.5165151532328,3870.63062585611,633
"2067/2068",2068,120,120,100,80.9396688069573,9746.39288042113,279
"2068/2069",2069,121,121,100,84.7532018955644,5928.92970297579,412
"2069/2070",2070,120,120,100,85.2569367524229,6249.24614916742,381
"2070/2071",2071,120,120,100,84.7564692941887,6522.35605205223,196
"2071/2072",2072,120,120,100,82.7258317144624,5731.11694839224,375
"2072/2073",2073,121,121,100,82.1849398069044,9994.91934273951,235
"2073/2074",2074,120,120,100,74.3783807416203,7765.59235812724,520
"2074/2075",2075,120,120,100,79.2574348178605,8395.36563775875,281
"2075/2076",2076,120,120,100,84.9839348715268,8725.32992254291,63
"2076/2077",2077,121,121,100,89.3041625464248,3525.73487850092,366
"2077/2078",2078,120,120,100,86.4315791415702,3869.26653512195,398
"2078/2079",2079,120,120,100,86.1691387196315,5687.49788176548,283
"2079/2080",2080,120,120,100,85.5899207024777,7607.14863388799,102
"2080/2081",2081,121,121,100,82.4689899852547,7073.82460131124,454
"2081/2082",2082,120,120,100,80.8877402968192,7175.91885009687,217
"2082/2083",2083,120,120,100,83.2359056027653,7586.83890194166,266
"2083/2084",2084,120,120,100,86.3024877787029,4580.74544702098,328
"2084/2085",2085,121,121,100,82.2828316752366,5459.25858051609,386
"2085/2086",2086,120,120,100,83.4207343378366,5935.85500538629,369
"2086/2087",2087,120,120,100,85.5411783723721,4969.85370928701,292
"2087/2088",2088,120,120,100,80.1506414209689,5911.77614673413,455
"2088/2089",2089,121,121,100,85.7803938740926,5663.96000933833,326
"2089/2090",2090,120,120,100,86.266811316098,3933.17967924103,386
"2090/2091",2091,120,120,100,81.9956816900303,5408.64596638363,451
"2091/2092",2092,120,120,100,87.5779635825693,3799.4343201993,286
"2092/2093",2093,121,121,100,82.6675979091342,7856.99624021165,353
"2093/2094",2094,120,120,100,77.125226199254,7101.87192612141,494
"2094/2095",2095,120,120,100,87.4957812832417,5086.89533916302,188
"2095/2096",2096,120,120,100,82.9996409755822,8384.43857489992,131
"2096/2097",2097,121,121,100,73.2134556312703,9650.70349252224,280
"2097/2098",2098,120,120,100,79.7331913146536,5894.94603943545,462
"2098/2099",2099,120,120,100,84.5311761582634,5959.1850701496,326
"2099/2100",2100,120,120,100,87.687477838761,6358.43949382193,82
"2100/2101",2101,120,120,100,84.7787980039102,6668.13178663421,341
