"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,82.343477599261,6778.45670258487,377
"2002/2003",2003,120,120,100,83.9934439265036,3035.72372986551,675
"2003/2004",2004,120,120,100,88.1711308898914,4584.39151960405,292
"2004/2005",2005,121,121,100,84.7376134180549,7636.77969150973,283
"2005/2006",2006,120,120,100,83.6799189037074,5243.86561526725,424
"2006/2007",2007,120,120,100,84.5440587535064,5168.76903886953,393
"2007/2008",2008,120,120,100,84.3572004659143,2634.19420909183,515
"2008/2009",2009,121,121,100,82.4818795724295,7114.82942722016,371
"2009/2010",2010,120,120,100,87.8185336014421,4820.64188799972,208
"2010/2011",2011,120,120,100,85.1445703915913,4613.65425776865,331
"2011/2012",2012,120,120,100,77.6526422153968,4999.85886492534,674
"2012/2013",2013,121,121,100,86.7216917946535,4343.87457399827,387
"2013/2014",2014,120,120,100,74.5243840093765,4406.18115339684,952
"2014/2015",2015,120,120,100,83.1295904199883,5755.64009624231,368
"2015/2016",2016,120,120,100,80.358561021485,5553.06401505764,500
"2016/2017",2017,121,121,100,79.8733349164545,6534.11690344382,430
"2017/2018",2018,120,120,100,79.8753847511703,4539.95524984738,591
"2018/2019",2019,120,120,100,84.9135921820757,4669.33211373165,448
"2019/2020",2020,120,120,100,83.6375322196864,7141.31921158847,290
"2020/2021",2021,121,121,100,83.8176824817929,3554.93493362493,697
"2021/2022",2022,120,120,100,76.3833780506611,6526.27484394074,572
"2022/2023",2023,120,120,100,87.5382080364452,4913.42230558302,285
"2023/2024",2024,120,120,100,84.0447129182694,7356.98393567721,131
"2024/2025",2025,121,121,100,87.323242156649,4419.47922318033,302
"2025/2026",2026,120,120,100,75.4390307801714,2675.07257946674,956
"2026/2027",2027,120,120,100,86.1253561614894,6110.78661365644,273
"2027/2028",2028,120,120,100,81.7063133491679,2644.74071910349,670
"2028/2029",2029,121,121,100,81.5292030819678,6098.50997719727,435
"2029/2030",2030,120,120,100,83.87916349437,4896.51979718776,461
"2030/2031",2031,120,120,100,86.0071096686756,4506.25681047933,471
"2031/2032",2032,120,120,100,83.7121837397708,6166.35660203174,332
"2032/2033",2033,121,121,100,83.3533145902074,3036.84713814268,706
"2033/2034",2034,120,120,100,76.8889004715456,4984.74945452996,616
"2034/2035",2035,120,120,100,78.1857057722564,5492.966097889,538
"2035/2036",2036,120,120,100,85.2223068192225,5084.99757673545,446
"2036/2037",2037,121,121,100,85.0245045818619,3529.99211886991,639
"2037/2038",2038,120,120,100,79.88094965861,6028.60922176065,420
"2038/2039",2039,120,120,100,88.1833004533664,7184.93455729634,173
"2039/2040",2040,120,120,100,86.094226406889,5375.05304890592,244
"2040/2041",2041,121,121,100,87.9537063077623,5399.02561739972,258
"2041/2042",2042,120,120,100,82.8529252630788,7960.15151201654,289
"2042/2043",2043,120,120,100,84.7500107920587,3040.22409380693,578
"2043/2044",2044,120,120,100,86.048112726563,5417.23694716766,243
"2044/2045",2045,121,121,100,81.2793432072622,3101.55378090218,704
"2045/2046",2046,120,120,100,80.2314112070653,5423.82433213247,530
"2046/2047",2047,120,120,100,80.2238765526081,4707.8495696513,612
"2047/2048",2048,120,120,100,88.3150874344055,3740.87534005381,388
"2048/2049",2049,121,121,100,84.02370161203,3385.36031281995,605
"2049/2050",2050,120,120,100,84.7533037337325,1927.49523790041,576
"2050/2051",2051,120,120,100,79.7032436060117,5532.21675559739,392
"2051/2052",2052,120,120,100,81.541504390887,6855.70756947109,290
"2052/2053",2053,121,121,100,84.0903627819407,6259.18678315263,294
"2053/2054",2054,120,120,100,83.7932034213645,6694.27090825746,244
"2054/2055",2055,120,120,100,86.398916602906,4462.0916418992,398
"2055/2056",2056,120,120,100,79.1855730370498,6703.66237000143,316
"2056/2057",2057,121,121,100,81.2307358810685,4231.12786727631,604
"2057/2058",2058,120,120,100,86.2129549914334,5450.74381925585,225
"2058/2059",2059,120,120,100,81.8016337665231,3261.16449214937,628
