"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.5373758111469,5994.78875881339,427
"2002/2003",2003,120,120,100,83.133622987335,2531.01234813199,728
"2003/2004",2004,120,120,100,88.6132289237321,3964.94021873712,349
"2004/2005",2005,121,121,100,85.1381443593912,6931.98604774705,331
"2005/2006",2006,120,120,100,83.7697896501531,4572.7775033667,456
"2006/2007",2007,120,120,100,84.7255244723345,4573.91926936887,445
"2007/2008",2008,120,120,100,81.4360422174552,2233.63467629458,579
"2008/2009",2009,121,121,100,83.8175244738609,6334.75633989379,408
"2009/2010",2010,120,120,100,88.1161648769596,4156.52859292109,243
"2010/2011",2011,120,120,100,85.5661668107828,4022.07359409903,366
"2011/2012",2012,120,120,100,76.9692870165718,4343.49107807234,743
"2012/2013",2013,121,121,100,87.3619285584177,3791.87613240455,429
"2013/2014",2014,120,120,100,73.9879436812416,3963.20444560016,1018
"2014/2015",2015,120,120,100,84.356817666885,5129.55670186796,396
"2015/2016",2016,120,120,100,80.1098477296591,4930.83953002002,540
"2016/2017",2017,121,121,100,80.5454102323388,5883.44270803081,462
"2017/2018",2018,120,120,100,77.8468149438654,3971.27615563036,656
"2018/2019",2019,120,120,100,83.2403832065788,4143.16267980658,516
"2019/2020",2020,120,120,100,83.5380646811582,6418.63793611364,319
"2020/2021",2021,121,121,100,82.8644671724801,3071.63248030934,750
"2021/2022",2022,120,120,100,75.5155979894198,6007.1436239325,632
"2022/2023",2023,120,120,100,86.6351260091074,4220.01463965024,315
"2023/2024",2024,120,120,100,85.680745485527,6605.52523703803,181
"2024/2025",2025,121,121,100,87.9129409391699,3835.19064180274,346
"2025/2026",2026,120,120,100,74.5402702763045,2405.76360764634,1045
"2026/2027",2027,120,120,100,87.2105794406139,5432.58191413339,315
"2027/2028",2028,120,120,100,80.1932849764494,2229.6406614189,728
"2028/2029",2029,121,121,100,82.7449274347723,5450.4466908162,477
"2029/2030",2030,120,120,100,83.2363824302674,4326.78783979407,559
"2030/2031",2031,120,120,100,84.5306530646249,3873.41829086305,497
"2031/2032",2032,120,120,100,86.4414952713896,5460.83830687334,365
"2032/2033",2033,121,121,100,81.4366150373826,2603.9964432437,752
"2033/2034",2034,120,120,100,76.5791141678219,4483.31202648161,690
"2034/2035",2035,120,120,100,76.8838243842147,4965.00520495092,625
"2035/2036",2036,120,120,100,84.155014164623,4511.36827766756,488
"2036/2037",2037,121,121,100,81.8432430444445,3135.45353960665,719
"2037/2038",2038,120,120,100,82.3882096313446,5301.32054470107,465
"2038/2039",2039,120,120,100,89.1489732909731,6347.54958454473,197
"2039/2040",2040,120,120,100,85.5236247743987,4786.74963001721,280
"2040/2041",2041,121,121,100,88.4736484661771,4608.64063222893,286
"2041/2042",2042,120,120,100,83.5552070945751,7112.70609357813,303
"2042/2043",2043,120,120,100,84.0203247613317,2500.35530130612,648
"2043/2044",2044,120,120,100,87.2349733283145,4716.95448466763,273
"2044/2045",2045,121,121,100,80.6975720539222,2635.73664701823,756
"2045/2046",2046,120,120,100,77.9746030587885,4909.30155194784,581
"2046/2047",2047,120,120,100,79.0851366755596,4114.04346967302,643
"2047/2048",2048,120,120,100,86.7356897333684,3184.53990186006,429
"2048/2049",2049,121,121,100,84.443861662372,2876.44151361613,659
"2049/2050",2050,120,120,100,83.2790885383192,1629.80173829198,661
"2050/2051",2051,120,120,100,81.4131033514768,5054.44817549642,467
"2051/2052",2052,120,120,100,81.7106452422304,6173.12042502034,329
"2052/2053",2053,121,121,100,85.4716056245989,5601.89763765596,321
"2053/2054",2054,120,120,100,84.3407237852298,5902.31929798843,275
"2054/2055",2055,120,120,100,84.1267614116941,3885.4578623455,447
"2055/2056",2056,120,120,100,77.1707655894597,6230.33342370763,345
"2056/2057",2057,121,121,100,79.2249136089949,3715.35336429207,660
"2057/2058",2058,120,120,100,85.5810061459551,4757.20851094788,248
"2058/2059",2059,120,120,100,80.8359944277181,2792.01779012755,702
"2059/2060",2060,120,120,100,80.4220510582409,6216.68572292523,516
"2060/2061",2061,121,121,100,78.756463809772,7465.7197819096,421
"2061/2062",2062,120,120,100,80.353079564673,2297.5602704566,698
"2062/2063",2063,120,120,100,84.4099598140674,2815.376444411,545
"2063/2064",2064,120,120,100,81.3056202277839,4524.46965492144,673
"2064/2065",2065,121,121,100,89.3361465387788,4196.15752183739,343
"2065/2066",2066,120,120,100,90.8608294499973,3931.55930882785,226
"2066/2067",2067,120,120,100,78.6302397119107,2805.0217395369,834
"2067/2068",2068,120,120,100,84.9247878874085,7335.20301037468,424
"2068/2069",2069,121,121,100,83.5419401577637,4340.65406887513,568
"2069/2070",2070,120,120,100,82.9129308552292,4641.35472546425,510
"2070/2071",2071,120,120,100,85.9380790200994,4560.69120454229,342
"2071/2072",2072,120,120,100,80.5064598815115,4179.30179763958,679
"2072/2073",2073,121,121,100,85.2420860535894,7512.49472492374,298
"2073/2074",2074,120,120,100,73.0116980177245,6104.92940352112,686
"2074/2075",2075,120,120,100,82.9493576159712,6071.26221577823,432
"2075/2076",2076,120,120,100,85.6161352765303,6508.87967034057,202
"2076/2077",2077,121,121,100,84.5842385253127,2380.06909288839,602
"2077/2078",2078,120,120,100,84.1527805919559,2728.24253867753,600
"2078/2079",2079,120,120,100,85.85258938062,4051.59849780519,418
"2079/2080",2080,120,120,100,86.6497552166693,5450.59116735589,274
"2080/2081",2081,121,121,100,81.6116421376155,5514.98232862633,650
"2081/2082",2082,120,120,100,82.5655390631491,5460.95911091659,371
"2082/2083",2083,120,120,100,84.4304674090945,5601.73053792398,410
"2083/2084",2084,120,120,100,84.5020604569982,3071.75157625973,504
"2084/2085",2085,121,121,100,80.7151574747168,3815.95901181735,549
"2085/2086",2086,120,120,100,81.9084404251171,4508.68642739765,602
"2086/2087",2087,120,120,100,83.0179764151944,3658.68951372337,546
"2087/2088",2088,120,120,100,80.3540139937977,4461.9884244455,675
"2088/2089",2089,121,121,100,85.2934929127332,4197.16934511624,541
"2089/2090",2090,120,120,100,83.7769415795938,2783.02272628807,606
"2090/2091",2091,120,120,100,80.9599892498281,4102.34874528088,709
"2091/2092",2092,120,120,100,84.967882664665,2706.90628072899,562
"2092/2093",2093,121,121,100,83.3531127493861,5723.24180767592,469
"2093/2094",2094,120,120,100,77.4252659206704,5484.77023215406,763
"2094/2095",2095,120,120,100,86.6519928062753,3690.92896631919,418
"2095/2096",2096,120,120,100,81.4180810346661,6417.7023555059,254
"2096/2097",2097,121,121,100,73.2100335664582,7617.0660124803,473
"2097/2098",2098,120,120,100,79.7763948679694,4435.39945875574,729
"2098/2099",2099,120,120,100,85.4553410513454,4239.09046065342,493
"2099/2100",2100,120,120,100,87.3951030083608,4569.9431846505,224
"2100/2101",2101,120,120,100,82.1849119392773,5044.97954229452,511
