"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,82.9553071867423,5043.80433000399,483
"2002/2003",2003,120,120,100,81.028223966274,2036.99120251738,788
"2003/2004",2004,120,120,100,88.0632095832483,3366.2202561945,448
"2004/2005",2005,121,121,100,85.5433177903145,6075.71952491772,393
"2005/2006",2006,120,120,100,84.0717170881272,3733.25664233067,498
"2006/2007",2007,120,120,100,82.338073133167,3923.73317329981,545
"2007/2008",2008,120,120,100,80.009812390304,1809.00594880531,679
"2008/2009",2009,121,121,100,84.0960018446308,5417.2441993322,445
"2009/2010",2010,120,120,100,87.0387099268537,3420.5034040804,312
"2010/2011",2011,120,120,100,84.0534643044271,3353.64126393327,410
"2011/2012",2012,120,120,100,76.9328066243056,3579.49870539119,836
"2012/2013",2013,121,121,100,86.470928128746,3165.4581730006,488
"2013/2014",2014,120,120,100,73.5871790216856,3349.17668021773,1083
"2014/2015",2015,120,120,100,83.6456878943072,4387.55206717807,450
"2015/2016",2016,120,120,100,80.3909580684485,4148.31404147914,600
"2016/2017",2017,121,121,100,81.3300509304199,5154.86687922047,553
"2017/2018",2018,120,120,100,77.9090180950302,3314.19487906026,745
"2018/2019",2019,120,120,100,82.3240958907891,3510.21643329947,614
"2019/2020",2020,120,120,100,85.0770158389546,5620.82217084058,386
"2020/2021",2021,121,121,100,81.8197328064848,2519.65257869591,823
"2021/2022",2022,120,120,100,75.1554827915329,5284.10583675816,677
"2022/2023",2023,120,120,100,88.1341325330191,3390.60234107613,355
"2023/2024",2024,120,120,100,87.2003663106452,5778.2507209091,255
"2024/2025",2025,121,121,100,86.5139554888251,3276.0448980201,417
"2025/2026",2026,120,120,100,71.6444031362257,2192.11419789004,1201
"2026/2027",2027,120,120,100,87.3600543357006,4655.93135207985,392
"2027/2028",2028,120,120,100,80.3280078889461,1746.97343240282,795
"2028/2029",2029,121,121,100,82.8326370870973,4607.90323452116,573
"2029/2030",2030,120,120,100,83.7937205169719,3691.93114655209,647
"2030/2031",2031,120,120,100,84.1480418952997,3211.97022979311,544
"2031/2032",2032,120,120,100,85.6795333831733,4653.02867365768,436
"2032/2033",2033,121,121,100,81.3091292747522,2110.55594101502,818
"2033/2034",2034,120,120,100,76.2405885072703,3845.26890739147,781
"2034/2035",2035,120,120,100,77.1983676404388,4254.32649041642,709
"2035/2036",2036,120,120,100,84.0473725962484,3847.24332289724,582
"2036/2037",2037,121,121,100,81.7763775693002,2653.56930787209,815
"2037/2038",2038,120,120,100,82.4935487281691,4407.44898868352,508
"2038/2039",2039,120,120,100,89.5774821037921,5402.18051020987,235
"2039/2040",2040,120,120,100,86.6511177476186,4083.54493023455,349
"2040/2041",2041,121,121,100,87.8260836367226,3769.3227151311,342
"2041/2042",2042,120,120,100,84.6099780710147,6018.39962235047,343
"2042/2043",2043,120,120,100,81.3250572203797,1908.76547533507,742
"2043/2044",2044,120,120,100,87.5874891856538,3882.7453650781,317
"2044/2045",2045,121,121,100,79.9931557969976,2027.71461587399,838
"2045/2046",2046,120,120,100,79.6999560637205,4260.5960269277,634
"2046/2047",2047,120,120,100,79.7247525916919,3367.07685209997,684
"2047/2048",2048,120,120,100,84.9202878391798,2506.88521273946,493
"2048/2049",2049,121,121,100,82.5461921482856,2259.9534554733,731
"2049/2050",2050,120,120,100,81.2930734833653,1283.64548276318,774
"2050/2051",2051,120,120,100,79.7796700862746,4470.19344501058,586
"2051/2052",2052,120,120,100,81.4963595045929,5414.69169653673,398
"2052/2053",2053,121,121,100,83.9912965120466,4837.16583705787,370
"2053/2054",2054,120,120,100,85.6954810686821,4964.41574083874,340
"2054/2055",2055,120,120,100,84.070686797917,3176.06376988115,529
"2055/2056",2056,120,120,100,77.7658089774577,5683.21623016056,452
"2056/2057",2057,121,121,100,77.5159678750497,3186.97496547131,736
"2057/2058",2058,120,120,100,87.2479394015954,3910.44258518284,301
"2058/2059",2059,120,120,100,79.6156252127821,2233.39881727844,813
"2059/2060",2060,120,120,100,79.2223299927391,5271.62874794193,546
"2060/2061",2061,121,121,100,80.6549540022443,6538.64580469672,492
"2061/2062",2062,120,120,100,78.400558571806,1822.24666549638,769
"2062/2063",2063,120,120,100,81.3439383479181,2293.52951317653,621
"2063/2064",2064,120,120,100,80.2778566672532,3685.68022019975,745
"2064/2065",2065,121,121,100,86.0240231233674,3631.7555794497,440
"2065/2066",2066,120,120,100,89.4180112252761,3176.60830134014,286
"2066/2067",2067,120,120,100,77.3095461942576,2366.58376647811,912
"2067/2068",2068,120,120,100,84.3179328246806,6435.23432885204,473
"2068/2069",2069,121,121,100,83.7753545091291,3657.11088190973,638
"2069/2070",2070,120,120,100,83.8897610345448,3791.85797914583,548
"2070/2071",2071,120,120,100,83.3642616862508,3957.22991673555,434
"2071/2072",2072,120,120,100,81.5250225210148,3406.58092195075,738
"2072/2073",2073,121,121,100,83.7928123304446,6564.33851459436,342
"2073/2074",2074,120,120,100,72.7624599637311,5465.49267389067,752
"2074/2075",2075,120,120,100,81.8741118279213,5300.53077172115,511
"2075/2076",2076,120,120,100,87.480100116376,5592.55935824197,253
"2076/2077",2077,121,121,100,82.930479130142,1882.68250040617,671
"2077/2078",2078,120,120,100,82.4541364769866,2201.96376848221,704
"2078/2079",2079,120,120,100,85.6978249748809,3314.1478053527,462
"2079/2080",2080,120,120,100,86.3417648038321,4647.0269160904,333
"2080/2081",2081,121,121,100,81.8657882959742,4462.26688817143,690
"2081/2082",2082,120,120,100,82.7431874116846,4586.92906693462,449
"2082/2083",2083,120,120,100,83.011741558279,4735.68073748332,484
"2083/2084",2084,120,120,100,83.1408503420007,2613.48433087487,623
"2084/2085",2085,121,121,100,79.400549428472,3215.20445769466,624
"2085/2086",2086,120,120,100,82.2380003691433,3655.08923986647,663
"2086/2087",2087,120,120,100,81.8971311061778,2993.14610202145,630
"2087/2088",2088,120,120,100,78.8825357904007,3702.30390093382,742
"2088/2089",2089,121,121,100,85.4970374879576,3389.31135613378,599
"2089/2090",2090,120,120,100,81.9879583984075,2283.43907826953,681
"2090/2091",2091,120,120,100,80.6387162699266,3317.059754855,761
"2091/2092",2092,120,120,100,83.4932870681787,2125.06000311859,640
"2092/2093",2093,121,121,100,84.6515464903641,4965.84140038956,551
"2093/2094",2094,120,120,100,79.5706103142602,4536.60409795493,825
"2094/2095",2095,120,120,100,85.9713669466728,2940.71494349092,501
"2095/2096",2096,120,120,100,81.3881519408114,5517.50099547673,305
"2096/2097",2097,121,121,100,70.971966819543,6910.72337261122,581
"2097/2098",2098,120,120,100,79.8924680147411,3703.74649504665,816
"2098/2099",2099,120,120,100,83.6090870874941,3453.37985620555,564
"2099/2100",2100,120,120,100,85.3708500661451,3848.10457999911,288
"2100/2101",2101,120,120,100,82.7379531337374,4139.61595079303,571
