"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.8541100944437,6573.3159640997,403
"2002/2003",2003,120,120,100,84.6382652111893,2810.78518280723,660
"2003/2004",2004,120,120,100,88.7802559070591,4357.76571983122,283
"2004/2005",2005,121,121,100,85.0485698924123,7185.91312943317,242
"2005/2006",2006,120,120,100,84.7830888139174,4829.89119281276,429
"2006/2007",2007,120,120,100,82.8911189459607,5004.02622276358,401
"2007/2008",2008,120,120,100,82.6062975688969,2512.81949193217,543
"2008/2009",2009,121,121,100,85.3153184903747,6567.56632563955,338
"2009/2010",2010,120,120,100,88.459566083967,4315.76929645485,191
"2010/2011",2011,120,120,100,86.1169537436399,4322.90427410649,305
"2011/2012",2012,120,120,100,76.9104288487763,4632.03629772773,675
"2012/2013",2013,121,121,100,87.7142116772573,4080.45654528227,372
"2013/2014",2014,120,120,100,72.2717797523262,4350.02407824143,974
"2014/2015",2015,120,120,100,82.2569404179983,5624.90063037677,361
"2015/2016",2016,120,120,100,80.883464034076,5142.09492588998,488
"2016/2017",2017,121,121,100,78.1282120340024,6458.24899146857,438
"2017/2018",2018,120,120,100,79.0451892276137,4335.1420904391,594
"2018/2019",2019,120,120,100,83.912456834059,4512.98379931808,451
"2019/2020",2020,120,120,100,83.4378057999925,6768.32867512712,271
"2020/2021",2021,121,121,100,83.2760794006313,3230.04932199535,650
"2021/2022",2022,120,120,100,74.4968692414668,6367.7436679278,570
"2022/2023",2023,120,120,100,87.6553564810438,4563.47286987514,265
"2023/2024",2024,120,120,100,86.4723711355864,7202.62536767963,155
"2024/2025",2025,121,121,100,86.4966444685974,4210.94601641572,294
"2025/2026",2026,120,120,100,73.9920908570325,2707.66892296029,1013
"2026/2027",2027,120,120,100,87.1976602550653,5864.26764607872,267
"2027/2028",2028,120,120,100,83.1365527624548,2242.19087325968,620
"2028/2029",2029,121,121,100,82.5232007900286,5740.98853373691,419
"2029/2030",2030,120,120,100,83.2780188562256,4808.0849240215,488
"2030/2031",2031,120,120,100,85.6869201064173,4263.41940752883,459
"2031/2032",2032,120,120,100,86.259620988395,5752.33665361325,298
"2032/2033",2033,121,121,100,83.2968604973894,2808.84634245723,692
"2033/2034",2034,120,120,100,78.9995333070719,4812.33236518502,612
"2034/2035",2035,120,120,100,78.5375363699641,5390.42520381045,530
"2035/2036",2036,120,120,100,83.7049538395086,4993.0222710548,445
"2036/2037",2037,121,121,100,83.1615045935096,3274.15957414219,620
"2037/2038",2038,120,120,100,83.5441120168716,5596.57305708574,416
"2038/2039",2039,120,120,100,88.7615613873422,6989.59664793126,173
"2039/2040",2040,120,120,100,84.3378704852457,5305.52732765395,241
"2040/2041",2041,121,121,100,88.0062534042963,5042.11484394548,241
"2041/2042",2042,120,120,100,84.1542253545977,7543.38051843876,271
"2042/2043",2043,120,120,100,85.2305464235324,2663.21437063208,550
"2043/2044",2044,120,120,100,88.0789660289211,4975.12448913464,233
"2044/2045",2045,121,121,100,80.5006065474872,2861.16564382566,725
"2045/2046",2046,120,120,100,79.9509445440299,5288.1741485293,537
"2046/2047",2047,120,120,100,80.6464097654598,4399.77605909854,605
"2047/2048",2048,120,120,100,88.4800335083373,3403.51020571729,356
"2048/2049",2049,121,121,100,85.51159033982,3047.25684223976,547
"2049/2050",2050,120,120,100,84.1307893034118,1780.00328250648,542
"2050/2051",2051,120,120,100,79.0794968731389,5585.50103785191,406
"2051/2052",2052,120,120,100,81.345222561341,6839.58491895488,316
"2052/2053",2053,121,121,100,84.4264870365296,6102.74924461264,279
"2053/2054",2054,120,120,100,84.8516454669298,6208.07150805555,226
"2054/2055",2055,120,120,100,85.9179544882381,4253.92819297966,402
"2055/2056",2056,120,120,100,77.7028899865763,6734.35546450922,291
"2056/2057",2057,121,121,100,81.1506196351265,4085.85955093149,590
"2057/2058",2058,120,120,100,86.9199904167526,5005.74510721909,201
"2058/2059",2059,120,120,100,81.9392478155787,3072.08834462613,642
"2059/2060",2060,120,120,100,80.8023178319454,6518.80740310624,466
"2060/2061",2061,121,121,100,79.4462246110252,7835.29205545224,354
"2061/2062",2062,120,120,100,81.5468413684684,2363.97502515046,598
"2062/2063",2063,120,120,100,84.8201345423222,3092.13817317598,470
"2063/2064",2064,120,120,100,81.7193467843699,4543.25980749913,560
"2064/2065",2065,121,121,100,88.7226918260112,4451.95534191094,278
"2065/2066",2066,120,120,100,92.249963379656,4334.99256710429,181
"2066/2067",2067,120,120,100,79.6457940384771,2897.45270451531,753
"2067/2068",2068,120,120,100,84.703373794955,7714.78298045043,366
"2068/2069",2069,121,121,100,83.0474627321928,4646.14007092267,537
"2069/2070",2070,120,120,100,84.421486313935,4808.41386185121,453
"2070/2071",2071,120,120,100,85.3647169529977,5160.67956002895,314
"2071/2072",2072,120,120,100,80.725097197268,4465.53326723445,606
"2072/2073",2073,121,121,100,85.0729844803227,7968.78057550546,270
"2073/2074",2074,120,120,100,73.3344590812831,6551.59363982268,652
"2074/2075",2075,120,120,100,81.3313962817574,6718.80140081327,410
"2075/2076",2076,120,120,100,85.1147837166081,6799.27737897728,142
"2076/2077",2077,121,121,100,85.6526170767429,2630.68088008743,537
"2077/2078",2078,120,120,100,85.6474148800207,2811.83158091083,532
"2078/2079",2079,120,120,100,86.4837827655574,4330.29052244034,395
"2079/2080",2080,120,120,100,87.0562261688974,5775.271529302,172
"2080/2081",2081,121,121,100,82.6304234584422,5651.35032858886,572
"2081/2082",2082,120,120,100,82.5905481327536,5779.16361062508,313
"2082/2083",2083,120,120,100,84.0370892862229,6041.05335175991,371
"2083/2084",2084,120,120,100,85.1577413286886,3404.39217010979,461
"2084/2085",2085,121,121,100,82.279579973123,4228.07802185509,511
"2085/2086",2086,120,120,100,81.7333242282511,4698.28050462529,518
"2086/2087",2087,120,120,100,83.814656708184,3926.86785842385,480
"2087/2088",2088,120,120,100,79.3192556566955,4703.97091002762,585
"2088/2089",2089,121,121,100,86.3234045677254,4444.57271328103,468
"2089/2090",2090,120,120,100,84.8605261280682,2924.86754544079,521
"2090/2091",2091,120,120,100,80.3378536452328,4329.42314310279,622
"2091/2092",2092,120,120,100,85.6855609964587,2873.0617136173,471
"2092/2093",2093,121,121,100,84.1967528244259,6273.49348613154,436
"2093/2094",2094,120,120,100,78.5819865089343,5814.42754291929,694
"2094/2095",2095,120,120,100,87.9534542637666,3834.9662155211,332
"2095/2096",2096,120,120,100,82.1716410750178,6839.94621846173,199
"2096/2097",2097,121,121,100,73.5691674191658,8287.29656999093,430
"2097/2098",2098,120,120,100,78.3280114494846,4737.49477374181,662
"2098/2099",2099,120,120,100,84.7163087955778,4604.08340858761,429
"2099/2100",2100,120,120,100,86.8723533057637,4957.02927080262,175
"2100/2101",2101,120,120,100,84.4746990146341,5188.43927726801,439
