"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,82.7481874404087,5956.06974704683,380
"2002/2003",2003,120,120,100,82.654129380973,2832.86151329843,675
"2003/2004",2004,120,120,100,88.0927118101946,4043.53250973963,289
"2004/2005",2005,121,121,100,87.5491824747706,6798.91566801514,212
"2005/2006",2006,120,120,100,84.1481512295345,4335.5262854661,425
"2006/2007",2007,120,120,100,84.9242443594236,4471.77075893705,381
"2007/2008",2008,120,120,100,82.3639075322941,2308.25918049505,573
"2008/2009",2009,121,121,100,83.9363716356136,6256.12390524719,297
"2009/2010",2010,120,120,100,90.2056750064539,4063.11325525504,175
"2010/2011",2011,120,120,100,87.5214716193211,3936.48282191949,256
"2011/2012",2012,120,120,100,78.0038547310558,4238.71255604178,689
"2012/2013",2013,121,121,100,89.3172151231897,3595.98336794542,331
"2013/2014",2014,120,120,100,76.8238187781981,3595.56420780043,954
"2014/2015",2015,120,120,100,85.190309005844,5039.87492117658,344
"2015/2016",2016,120,120,100,83.9612201767518,4610.14835780486,489
"2016/2017",2017,121,121,100,82.1487623697412,6073.94403431227,433
"2017/2018",2018,120,120,100,80.9707513601052,3738.83402897231,570
"2018/2019",2019,120,120,100,85.5535185168451,4046.94716921845,448
"2019/2020",2020,120,120,100,86.1042382871019,6476.87865656172,271
"2020/2021",2021,121,121,100,84.6553577900377,2868.69172971183,603
"2021/2022",2022,120,120,100,77.7961147394303,5498.37460770458,477
"2022/2023",2023,120,120,100,90.0271411219164,3960.5623373352,191
"2023/2024",2024,120,120,100,86.5973265849711,6744.9174426035,143
"2024/2025",2025,121,121,100,87.7773222726846,4216.39882672508,296
"2025/2026",2026,120,120,100,74.8312454887882,2615.97712194314,1063
"2026/2027",2027,120,120,100,88.5370169747271,5472.99404413928,263
"2027/2028",2028,120,120,100,82.8377929715593,1909.86747693457,530
"2028/2029",2029,121,121,100,85.6569754481052,4987.79265766405,382
"2029/2030",2030,120,120,100,85.1698033563544,4588.93935163249,484
"2030/2031",2031,120,120,100,84.8833654684395,4042.76127607794,445
"2031/2032",2032,120,120,100,88.0433750691373,5230.91925247991,264
"2032/2033",2033,121,121,100,83.9122607326672,2592.76588117145,696
"2033/2034",2034,120,120,100,80.691623030707,4103.53959397972,585
"2034/2035",2035,120,120,100,81.4375108512031,4766.57007229608,488
"2035/2036",2036,120,120,100,86.2517690860623,4488.30343460478,420
"2036/2037",2037,121,121,100,83.7336680464014,2796.08347412338,611
"2037/2038",2038,120,120,100,83.6768841062549,4912.15548116388,356
"2038/2039",2039,120,120,100,88.4536236929434,6679.47353745624,166
"2039/2040",2040,120,120,100,87.0592895134278,4752.47875002725,219
"2040/2041",2041,121,121,100,89.2911551016859,4777.0336619122,241
"2041/2042",2042,120,120,100,85.7219692547724,6819.43513102457,245
"2042/2043",2043,120,120,100,84.6528276453691,2420.05310183251,536
"2043/2044",2044,120,120,100,89.6070728929844,4352.7725422415,198
"2044/2045",2045,121,121,100,82.6091989724746,2259.43446827913,713
"2045/2046",2046,120,120,100,83.2793714053469,4573.76691356767,486
"2046/2047",2047,120,120,100,82.6717300274895,3823.32037500059,583
"2047/2048",2048,120,120,100,89.0118620781996,2932.10263733659,344
"2048/2049",2049,121,121,100,86.9638451502233,2590.55178251164,486
"2049/2050",2050,120,120,100,85.2731045954524,1489.86084963242,521
"2050/2051",2051,120,120,100,83.7682223068896,4971.82633632654,388
"2051/2052",2052,120,120,100,82.7526556892171,6344.80687025236,324
"2052/2053",2053,121,121,100,84.0796459665089,5898.79495547945,282
"2053/2054",2054,120,120,100,88.1216626608921,5677.83734566672,200
"2054/2055",2055,120,120,100,86.6816816496103,3633.65810669912,381
"2055/2056",2056,120,120,100,78.5324206532059,6141.50782106677,270
"2056/2057",2057,121,121,100,81.0031833684407,3807.47208776372,549
"2057/2058",2058,120,120,100,90.8010614504456,4540.54423563881,191
"2058/2059",2059,120,120,100,82.9589321282547,2571.65677433414,584
"2059/2060",2060,120,120,100,83.432627904218,5572.66455061035,391
"2060/2061",2061,121,121,100,82.9130527301986,7002.72893811949,260
"2061/2062",2062,120,120,100,83.6936338395572,2152.03069607913,595
"2062/2063",2063,120,120,100,85.1350446239339,3112.93355349405,516
"2063/2064",2064,120,120,100,83.6627699324126,4126.64782659849,575
"2064/2065",2065,121,121,100,87.0761265448691,4423.63217360526,327
"2065/2066",2066,120,120,100,92.1301289973126,3927.09938264126,135
"2066/2067",2067,120,120,100,80.9596069467516,2455.61700258497,744
"2067/2068",2068,120,120,100,85.121171554727,7162.56829120405,313
"2068/2069",2069,121,121,100,87.2362717611268,4090.25172299054,500
"2069/2070",2070,120,120,100,85.7004317438787,4231.66999357473,419
"2070/2071",2071,120,120,100,84.2157577849339,5009.57440479286,297
"2071/2072",2072,120,120,100,81.872293900351,4228.05472373031,530
"2072/2073",2073,121,121,100,85.4608836323823,7398.47120488994,266
"2073/2074",2074,120,120,100,76.4293843059349,5775.18440293521,614
"2074/2075",2075,120,120,100,82.2377086301731,6491.84553350415,406
"2075/2076",2076,120,120,100,88.7915982348895,6360.00085477345,102
"2076/2077",2077,121,121,100,85.23245788846,2495.45398836676,539
"2077/2078",2078,120,120,100,85.7059057672686,2496.98646260239,530
"2078/2079",2079,120,120,100,86.8190254071578,3906.49678845052,349
"2079/2080",2080,120,120,100,86.3191046597276,5840.88810837828,205
"2080/2081",2081,121,121,100,85.8147189000574,4669.70707800798,511
"2081/2082",2082,120,120,100,85.2560082280979,4981.54822940566,261
"2082/2083",2083,120,120,100,85.9581132327148,5411.40739156958,339
"2083/2084",2084,120,120,100,84.8641043471398,3361.72103065439,458
"2084/2085",2085,121,121,100,82.6583274622844,3643.13567952998,474
"2085/2086",2086,120,120,100,84.7935400426995,3990.7325190315,458
"2086/2087",2087,120,120,100,85.3826705264673,3332.20300555136,412
"2087/2088",2088,120,120,100,82.6602252770608,4048.96860651672,544
"2088/2089",2089,121,121,100,88.0505239177655,3832.16885048524,415
"2089/2090",2090,120,120,100,85.9706467670967,2575.01956516691,490
"2090/2091",2091,120,120,100,83.1320592118464,3651.04280095827,559
"2091/2092",2092,120,120,100,86.8399005360388,2431.06480633747,416
"2092/2093",2093,121,121,100,85.352424431856,5634.04742327519,415
"2093/2094",2094,120,120,100,81.700049602885,4952.35042950884,619
"2094/2095",2095,120,120,100,88.8578989418675,3400.82642063219,287
"2095/2096",2096,120,120,100,84.1431567681939,6080.6490112897,172
"2096/2097",2097,121,121,100,74.4203310001649,7673.49111203011,392
"2097/2098",2098,120,120,100,80.8354269149822,4020.85254179966,593
"2098/2099",2099,120,120,100,85.3941196502383,4173.82929015625,405
"2099/2100",2100,120,120,100,89.5042323784019,4330.18930307031,126
"2100/2101",2101,120,120,100,86.541948347307,4587.11355044413,401
