"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,78.2799521635639,8102.28660262711,316
"2002/2003",2003,120,120,100,84.9684255178701,3975.86847258318,588
"2003/2004",2004,120,120,100,88.1767268319786,5456.16217383288,193
"2004/2005",2005,121,121,100,85.7682338871035,8454.39453503658,112
"2005/2006",2006,120,120,100,82.2230369623594,6084.42327271024,372
"2006/2007",2007,120,120,100,87.1450012918219,6067.0704690803,301
"2007/2008",2008,120,120,100,86.5966493289422,3309.52833228221,434
"2008/2009",2009,121,121,100,82.9470135910776,8080.26745946484,238
"2009/2010",2010,120,120,100,89.6885906594639,5528.37624159118,120
"2010/2011",2011,120,120,100,86.3348003392746,5377.3799811824,206
"2011/2012",2012,120,120,100,77.324413659321,5803.58433249919,562
"2012/2013",2013,121,121,100,89.370967687131,5056.43371905666,278
"2013/2014",2014,120,120,100,76.8665179825666,5094.71596906043,856
"2014/2015",2015,120,120,100,85.1869572754006,6800.49206486321,304
"2015/2016",2016,120,120,100,83.0032558950295,6269.09752221173,434
"2016/2017",2017,121,121,100,79.474458856751,7823.53032394638,348
"2017/2018",2018,120,120,100,82.38175784235,5224.89834609465,500
"2018/2019",2019,120,120,100,84.9111248389463,5515.5194685813,320
"2019/2020",2020,120,120,100,83.3718462632205,8225.70026366925,212
"2020/2021",2021,121,121,100,84.7819782290921,4133.49223225727,512
"2021/2022",2022,120,120,100,77.6554850733164,7126.65322387428,395
"2022/2023",2023,120,120,100,87.7181827110844,5690.69741196581,163
"2023/2024",2024,120,120,100,84.9489243638991,8593.33508659899,79
"2024/2025",2025,121,121,100,87.9691069846531,5505.47229385213,212
"2025/2026",2026,120,120,100,77.3730815856275,3330.37911054096,872
"2026/2027",2027,120,120,100,86.1453185669261,7240.98431672412,196
"2027/2028",2028,120,120,100,86.7763249109325,2873.65374177904,429
"2028/2029",2029,121,121,100,81.9732471673078,6774.30768990703,327
"2029/2030",2030,120,120,100,82.8181293467655,6145.38207264617,362
"2030/2031",2031,120,120,100,84.0876931534945,5628.56186799146,401
"2031/2032",2032,120,120,100,86.1939790283791,7001.63954213448,218
"2032/2033",2033,121,121,100,84.7319756956031,3707.48822874855,578
"2033/2034",2034,120,120,100,81.0340012709794,5554.19168295618,492
"2034/2035",2035,120,120,100,78.9485808763766,6391.46075085877,402
"2035/2036",2036,120,120,100,83.9473293885239,6094.86513020238,338
"2036/2037",2037,121,121,100,86.7752427212617,3922.87564552622,475
"2037/2038",2038,120,120,100,81.0074802381941,6701.9214003752,274
"2038/2039",2039,120,120,100,86.6923745604836,8750.43122423626,132
"2039/2040",2040,120,120,100,86.6654555980949,6489.09952549217,177
"2040/2041",2041,121,121,100,86.4725286839785,6583.24197352072,204
"2041/2042",2042,120,120,100,83.1254602430599,9092.86171174515,236
"2042/2043",2043,120,120,100,85.3433737735004,3678.6733209989,430
"2043/2044",2044,120,120,100,87.4863235273351,6140.50530317612,170
"2044/2045",2045,121,121,100,83.2157796849406,3615.67194114858,635
"2045/2046",2046,120,120,100,81.3042821840645,6116.53894687118,419
"2046/2047",2047,120,120,100,83.2254365446315,5499.11447748728,546
"2047/2048",2048,120,120,100,90.3977585570537,4366.62551110052,257
"2048/2049",2049,121,121,100,86.0674509213704,3993.91617338173,420
"2049/2050",2050,120,120,100,86.052259169127,2343.67159138108,401
"2050/2051",2051,120,120,100,79.7379605740598,6443.13591256132,292
"2051/2052",2052,120,120,100,81.9567866647467,8219.77491631452,261
"2052/2053",2053,121,121,100,82.1494640243927,7626.23219559668,234
"2053/2054",2054,120,120,100,83.7185026932284,7607.0157390181,151
"2054/2055",2055,120,120,100,86.2214165372307,5289.89068664564,308
"2055/2056",2056,120,120,100,79.5788598108429,7613.68438433763,190
"2056/2057",2057,121,121,100,84.585360457043,4968.35048859986,462
"2057/2058",2058,120,120,100,86.8371218739139,6353.89721046109,158
"2058/2059",2059,120,120,100,83.7052345916582,3865.81046075746,489
"2059/2060",2060,120,120,100,80.6710106207674,7592.7774504507,358
"2060/2061",2061,121,121,100,79.4939030370333,8973.3790694261,188
"2061/2062",2062,120,120,100,83.2994120049661,3174.21055961307,501
"2062/2063",2063,120,120,100,85.9037100124515,4343.16638506483,407
"2063/2064",2064,120,120,100,84.2270120374142,5672.9520094879,474
"2064/2065",2065,121,121,100,88.449871594501,5714.41638972424,217
"2065/2066",2066,120,120,100,90.8626787101966,5656.17285072803,96
"2066/2067",2067,120,120,100,83.1203188946856,3421.58955229167,614
"2067/2068",2068,120,120,100,83.0940584655618,8985.94620618969,240
"2068/2069",2069,121,121,100,84.2058046169041,5598.06264963374,394
"2069/2070",2070,120,120,100,86.1781514879676,5887.86658676155,363
"2070/2071",2071,120,120,100,84.6318316198394,6495.98335326184,227
"2071/2072",2072,120,120,100,80.6237272161397,5816.23003111314,473
"2072/2073",2073,121,121,100,84.0227163754589,9398.04325674474,228
"2073/2074",2074,120,120,100,74.776898035987,7357.99574591126,545
"2074/2075",2075,120,120,100,80.7078959725859,8259.94421494193,317
"2075/2076",2076,120,120,100,85.6335995329009,8273.62647643499,70
"2076/2077",2077,121,121,100,85.4997785115847,3662.17009810545,432
"2077/2078",2078,120,120,100,87.6509943045385,3615.81223380193,403
"2078/2079",2079,120,120,100,84.7202250187438,5390.5939120315,299
"2079/2080",2080,120,120,100,87.1013121729939,7440.82581671141,128
"2080/2081",2081,121,121,100,81.7158908622569,6623.05011273455,447
"2081/2082",2082,120,120,100,81.0048750114984,6865.24949304387,221
"2082/2083",2083,120,120,100,83.6936317730451,7291.15323731676,297
"2083/2084",2084,120,120,100,85.7375599280585,4484.49318368547,364
"2084/2085",2085,121,121,100,84.0472997615871,5055.21641476173,373
"2085/2086",2086,120,120,100,83.384982316913,5726.87350319792,366
"2086/2087",2087,120,120,100,86.5263561356132,4819.80133557785,337
"2087/2088",2088,120,120,100,81.3535305667792,5635.99143760372,468
"2088/2089",2089,121,121,100,86.4802844495316,5576.22688723821,386
"2089/2090",2090,120,120,100,86.5984374235468,3683.90791856498,403
"2090/2091",2091,120,120,100,82.1161747806309,5250.70214194432,484
"2091/2092",2092,120,120,100,87.788150195247,3688.7745305486,325
"2092/2093",2093,121,121,100,83.8257175874114,7368.3664179584,336
"2093/2094",2094,120,120,100,78.240095561021,6851.28144062776,554
"2094/2095",2095,120,120,100,88.1107619755585,4966.46899640746,240
"2095/2096",2096,120,120,100,79.9778438449594,8166.97071021423,152
"2096/2097",2097,121,121,100,70.7912957209228,9409.3380501261,320
"2097/2098",2098,120,120,100,80.5684816784433,5639.86621380225,509
"2098/2099",2099,120,120,100,85.9904451398379,5855.86492498033,363
"2099/2100",2100,120,120,100,89.4765534639046,6008.71785740647,104
"2100/2101",2101,120,120,100,84.7873235643074,6322.12208278198,333
