"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,78.8155698610975,9077.56606013018,242
"2002/2003",2003,120,120,100,87.5953586241461,4390.97393969441,475
"2003/2004",2004,120,120,100,88.2553593917682,6534.91585123024,125
"2004/2005",2005,121,121,100,78.9269072835931,10276.5552827044,140
"2005/2006",2006,120,120,100,80.3213924827058,7350.41910354962,386
"2006/2007",2007,120,120,100,85.1822976067557,7002.19095586851,172
"2007/2008",2008,120,120,100,87.4709077949936,3883.03003627027,370
"2008/2009",2009,121,121,100,79.6935382558438,9490.42856459087,210
"2009/2010",2010,120,120,100,88.0405103317937,6845.34099623386,95
"2010/2011",2011,120,120,100,87.3447074712228,6657.21588355175,204
"2011/2012",2012,120,120,100,76.2784639908518,6644.18608978111,483
"2012/2013",2013,121,121,100,89.3858637735523,6226.34991636546,269
"2013/2014",2014,120,120,100,74.9590137303649,5986.73201556958,705
"2014/2015",2015,120,120,100,81.4327156674683,7847.01385441143,245
"2015/2016",2016,120,120,100,79.5974196562609,7574.43214464583,374
"2016/2017",2017,121,121,100,80.4597563046812,8627.65050117299,269
"2017/2018",2018,120,120,100,80.8051251119077,6159.71489519835,426
"2018/2019",2019,120,120,100,85.5090840729672,6612.75624617422,264
"2019/2020",2020,120,120,100,79.7577757984491,9658.14568733028,160
"2020/2021",2021,121,121,100,83.1542816963624,4999.57726565097,458
"2021/2022",2022,120,120,100,73.9843648647584,8499.53886198997,409
"2022/2023",2023,120,120,100,86.8581036454034,6918.84433646989,170
"2023/2024",2024,120,120,100,84.883789874747,9844.28149810596,25
"2024/2025",2025,121,121,100,87.1476564782811,6324.5232788336,167
"2025/2026",2026,120,120,100,79.3783029954939,3713.52829684038,755
"2026/2027",2027,120,120,100,85.8025177716449,8398.32298686495,165
"2027/2028",2028,120,120,100,84.8465492251185,3985.67596741766,440
"2028/2029",2029,121,121,100,80.0531826305732,8063.04342821706,286
"2029/2030",2030,120,120,100,83.1959133965734,6703.4868959072,282
"2030/2031",2031,120,120,100,84.6878866017287,6232.36029902194,311
"2031/2032",2032,120,120,100,84.1616192068473,8472.30427802773,195
"2032/2033",2033,121,121,100,84.9258910876456,4448.2318977993,476
"2033/2034",2034,120,120,100,79.0346405364353,6587.46947759856,411
"2034/2035",2035,120,120,100,79.5458569649145,7386.03766955156,371
"2035/2036",2036,120,120,100,84.0373273609503,7128.25198363047,297
"2036/2037",2037,121,121,100,85.2745043557034,5071.51287998771,417
"2037/2038",2038,120,120,100,77.6326329800277,8178.08267599624,321
"2038/2039",2039,120,120,100,85.269341262072,9891.21326041548,76
"2039/2040",2040,120,120,100,83.9615579356696,7373.75715878187,109
"2040/2041",2041,121,121,100,87.2773415936745,7421.68383378303,156
"2041/2042",2042,120,120,100,74.8398190101407,10854.327494374,220
"2042/2043",2043,120,120,100,86.0486278247527,4240.55174881546,297
"2043/2044",2044,120,120,100,86.5815356005287,7600.4217530936,182
