"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,79.5282402985055,8216.3503110881,274
"2002/2003",2003,120,120,100,85.926833071444,3885.78211623055,522
"2003/2004",2004,120,120,100,88.6306130767694,5773.77065064482,170
"2004/2005",2005,121,121,100,81.2942458715391,9135.11620007537,140
"2005/2006",2006,120,120,100,82.8658007791923,6366.52515845973,382
"2006/2007",2007,120,120,100,86.3993787902001,6300.24392170837,242
"2007/2008",2008,120,120,100,87.4338453684566,3373.64299240237,407
"2008/2009",2009,121,121,100,82.5323225120121,8400.66200161062,221
"2009/2010",2010,120,120,100,89.6105390848218,5854.11380599602,106
"2010/2011",2011,120,120,100,86.4780561717562,5753.01131047774,211
"2011/2012",2012,120,120,100,77.8043336048472,5865.17347182264,508
"2012/2013",2013,121,121,100,90.218973206921,5400.5928736378,285
"2013/2014",2014,120,120,100,75.7545494154613,5344.61483468837,775
"2014/2015",2015,120,120,100,85.305606557944,7043.81707255577,278
"2015/2016",2016,120,120,100,81.6221293721278,6615.02404741873,397
"2016/2017",2017,121,121,100,79.9906059612895,7996.71640273347,313
"2017/2018",2018,120,120,100,81.6865663620829,5432.60756183928,462
"2018/2019",2019,120,120,100,86.2057302865373,5853.723534866,297
"2019/2020",2020,120,120,100,82.9422901769435,8702.42846394214,196
"2020/2021",2021,121,121,100,84.5247131248452,4287.06787027325,472
"2021/2022",2022,120,120,100,74.3771140812819,7633.18446592288,411
"2022/2023",2023,120,120,100,88.7089969101703,5940.3122627004,165
"2023/2024",2024,120,120,100,84.2289357479067,8978.72115493449,56
"2024/2025",2025,121,121,100,88.2417322439501,5682.65126853739,193
"2025/2026",2026,120,120,100,76.7171006761005,3505.91417430877,834
"2026/2027",2027,120,120,100,85.820818965205,7567.16986761312,184
"2027/2028",2028,120,120,100,84.5234850324673,3180.80544206523,439
"2028/2029",2029,121,121,100,80.912032124806,7104.83937621699,302
"2029/2030",2030,120,120,100,82.7443410551509,6165.26384463767,332
"2030/2031",2031,120,120,100,85.2283330837595,5581.18524991861,347
"2031/2032",2032,120,120,100,86.9543143284418,7456.1451772945,206
"2032/2033",2033,121,121,100,85.9103545845164,3864.25912989443,510
"2033/2034",2034,120,120,100,79.929614434418,5865.85355551355,445
"2034/2035",2035,120,120,100,79.9226337916143,6652.26789244823,394
"2035/2036",2036,120,120,100,84.7600774398152,6428.10252545588,318
"2036/2037",2037,121,121,100,84.4192517396932,4322.89569003787,454
"2037/2038",2038,120,120,100,80.9054122563548,7108.68220050866,311
"2038/2039",2039,120,120,100,86.2667477033556,8975.82679423131,97
"2039/2040",2040,120,120,100,85.6361163093588,6673.106703531,127
"2040/2041",2041,121,121,100,88.6258672270033,6594.49157227017,175
"2041/2042",2042,120,120,100,79.2544630869079,9595.14253544109,220
"2042/2043",2043,120,120,100,85.8668867282422,3601.77901335899,348
"2043/2044",2044,120,120,100,88.3872170118375,6540.01306437282,176
"2044/2045",2045,121,121,100,82.4019632406144,3755.57639362663,595
"2045/2046",2046,120,120,100,81.7135481486494,6448.48141604941,368
"2046/2047",2047,120,120,100,81.1829227151848,5690.19673380814,538
"2047/2048",2048,120,120,100,90.2594736959427,4591.90799327753,244
"2048/2049",2049,121,121,100,86.9843237019822,4126.50635115709,369
"2049/2050",2050,120,120,100,88.3690225866949,2479.94341123523,383
"2050/2051",2051,120,120,100,79.6837545719218,6730.98893348593,252
"2051/2052",2052,120,120,100,80.5215434054962,8435.72576999199,232
"2052/2053",2053,121,121,100,83.282370656706,7882.15392577695,232
"2053/2054",2054,120,120,100,84.50589582877,7978.35664742813,148
"2054/2055",2055,120,120,100,87.3477238166251,5517.97334817611,295
"2055/2056",2056,120,120,100,78.3562512374383,7982.6414101636,191
