"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.3444461700653,4557.00463091875,645
"2002/2003",2003,120,120,100,78.3661960401505,1557.09745286152,905
"2003/2004",2004,120,120,100,87.2805246232872,2467.00016141584,490
"2004/2005",2005,121,121,100,88.4561828491067,4530.15051489125,383
"2005/2006",2006,120,120,100,84.3426037475579,3012.59551871743,550
"2006/2007",2007,120,120,100,81.086283549735,3180.49203691515,615
"2007/2008",2008,120,120,100,75.6192988644309,1371.23314258736,796
"2008/2009",2009,121,121,100,84.39684881072,4180.83084077947,463
"2009/2010",2010,120,120,100,86.4555913488623,2332.92695961741,283
"2010/2011",2011,120,120,100,84.9662797130018,2450.03374094551,461
"2011/2012",2012,120,120,100,73.3553029355521,3085.91652691411,908
"2012/2013",2013,121,121,100,84.4549888347178,2391.06408518751,541
"2013/2014",2014,120,120,100,71.0253817311207,3116.18274588697,1212
"2014/2015",2015,120,120,100,79.2547503476499,3837.24507171731,521
"2015/2016",2016,120,120,100,79.1227389192154,3365.42956924473,705
"2016/2017",2017,121,121,100,80.1756174576349,4580.58894658089,688
"2017/2018",2018,120,120,100,75.4023149321492,2934.60264253372,823
"2018/2019",2019,120,120,100,81.837196633302,2874.85110825556,643
"2019/2020",2020,120,120,100,85.2810175760778,4363.13820922817,420
"2020/2021",2021,121,121,100,79.8036268257033,1901.57268566405,914
"2021/2022",2022,120,120,100,73.6475833489831,4824.85513356677,788
"2022/2023",2023,120,120,100,86.2576542338188,2839.38445933256,434
"2023/2024",2024,120,120,100,85.5337837423313,4802.20649805292,277
"2024/2025",2025,121,121,100,85.7758072438501,2401.54948599823,517
"2025/2026",2026,120,120,100,70.7124377369437,1688.23622898315,1272
"2026/2027",2027,120,120,100,86.0833927782542,3779.97701510973,434
"2027/2028",2028,120,120,100,78.4487979217638,1109.47156186006,894
"2028/2029",2029,121,121,100,81.2043755991526,3933.93081871676,632
"2029/2030",2030,120,120,100,82.019662135629,3219.91492757155,762
"2030/2031",2031,120,120,100,83.8521731953133,2666.20477940887,657
"2031/2032",2032,120,120,100,85.9678199393848,3545.94520515646,461
"2032/2033",2033,121,121,100,77.7674747054598,1561.45897470345,911
"2033/2034",2034,120,120,100,73.8208942379215,3368.67740465328,856
"2034/2035",2035,120,120,100,75.4292913785075,3873.99010615004,814
"2035/2036",2036,120,120,100,81.5995032003057,3214.24663457321,669
"2036/2037",2037,121,121,100,78.2868748482178,1977.01687658764,927
"2037/2038",2038,120,120,100,83.0507548027026,3617.82524862979,544
"2038/2039",2039,120,120,100,89.6201976135781,4515.56013756106,290
"2039/2040",2040,120,120,100,83.7740151972002,3638.11245569028,441
"2040/2041",2041,121,121,100,87.7692178662564,3176.54295978835,405
"2041/2042",2042,120,120,100,85.1527869778965,4959.01155649126,381
"2042/2043",2043,120,120,100,79.3164365824769,1503.37870316766,898
"2043/2044",2044,120,120,100,86.0973320920011,3006.91488600057,360
"2044/2045",2045,121,121,100,76.6027724870273,1754.73194990121,976
"2045/2046",2046,120,120,100,76.2029435327495,3753.81913361978,749
"2046/2047",2047,120,120,100,79.7719735108549,2839.04527351679,742
"2047/2048",2048,120,120,100,83.9423423964936,1922.83655011561,606
"2048/2049",2049,121,121,100,80.0145635389799,1803.09963674424,822
"2049/2050",2050,120,120,100,78.8854440657633,907.00264654262,905
"2050/2051",2051,120,120,100,77.7723925869432,3992.42075693561,671
"2051/2052",2052,120,120,100,80.838626295852,4796.84472043812,474
"2052/2053",2053,121,121,100,83.9878410334186,4065.83377093263,416
"2053/2054",2054,120,120,100,85.0206375795296,4025.32974608941,388
"2054/2055",2055,120,120,100,81.4707155380602,2702.09205052303,604
"2055/2056",2056,120,120,100,74.4276348544117,5276.59334662138,593
"2056/2057",2057,121,121,100,76.0568255731105,2434.13426367799,822
"2057/2058",2058,120,120,100,87.8423015218141,3075.33444558876,360
"2058/2059",2059,120,120,100,75.6875504750278,1898.35014050314,939
"2059/2060",2060,120,120,100,80.1121894170792,4455.27188320598,627
"2060/2061",2061,121,121,100,77.3532459523976,5509.07975782221,518
"2061/2062",2062,120,120,100,74.3989602667516,1300.92426772835,902
"2062/2063",2063,120,120,100,79.8883831343428,1871.49568317691,753
"2063/2064",2064,120,120,100,80.1097884022456,2744.86116991891,798
"2064/2065",2065,121,121,100,86.5037345806832,2530.42170928372,477
"2065/2066",2066,120,120,100,88.7142505215888,2552.12152653374,356
"2066/2067",2067,120,120,100,75.8931334290592,1648.31312773982,982
"2067/2068",2068,120,120,100,87.4390098544645,4890.45265624719,472
"2068/2069",2069,121,121,100,81.6775882621459,2948.62551502557,719
"2069/2070",2070,120,120,100,81.9669796421986,2800.83783678804,592
"2070/2071",2071,120,120,100,82.4503690458387,3521.22993308306,531
