"Season","End_year","Season_days","Data_days","Interpolated_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"1973/1974",1974,120,120,0,100,85.393275212191,2173.30687866926,482
"1974/1975",1975,120,120,1,99.1666666666667,90.1376407987015,3583.53648325638,283
"1975/1976",1976,120,120,0,100,81.2494223013105,1837.92034324794,702
"1976/1977",1977,121,121,0,100,82.8210098889789,1902.86874517804,730
"1977/1978",1978,120,120,0,100,78.6555721334184,2671.8939510528,825
"1978/1979",1979,120,120,0,100,68.1670649499727,1431.01060795324,1366
"1979/1980",1980,120,120,0,100,82.6618525773079,2362.43566696229,682
"1980/1981",1981,121,121,0,100,74.3822840564317,2091.65532831737,1077
"1981/1982",1982,120,120,0,100,74.6062284185521,1953.74673508568,1076
"1982/1983",1983,120,120,0,100,84.2772906014006,2919.50404947496,573
"1983/1984",1984,120,120,0,100,81.6980586625305,2110.09604174609,803
"1984/1985",1985,121,121,0,100,72.447470887196,2025.16215585871,1094
"1985/1986",1986,120,120,0,100,68.7447845772515,1798.29099702672,1293
"1986/1987",1987,120,120,0,100,73.3768097239622,2492.51679879054,1028
"1987/1988",1988,120,120,0,100,87.6546781588518,2832.05701852264,309
"1988/1989",1989,121,121,0,100,90.7279375008848,2629.94832085958,371
"1989/1990",1990,120,120,0,100,83.1488120407103,4598.70351924631,421
"1990/1991",1991,120,120,0,100,77.9117327132317,1896.74937189673,934
"1991/1992",1992,120,120,0,100,83.3508657471934,2066.38200173818,688
"1992/1993",1993,121,121,0,100,86.3385905551586,2738.85565087758,590
"1993/1994",1994,120,120,0,100,82.4343071552807,1862.4281675471,630
"1994/1995",1995,120,120,0,100,85.8650360211154,5342.87613402377,350
"1995/1996",1996,120,120,0,100,72.0318175749971,1370.75988622638,1180
"1996/1997",1997,121,121,0,100,75.2336015686469,2695.86387256114,892
"1997/1998",1998,120,120,0,100,86.0386586362238,3974.9757279763,417
"1998/1999",1999,120,120,0,100,77.3667430803662,2046.1573576096,628
"1999/2000",2000,120,120,0,100,88.5825239399737,2410.12623611232,299
"2000/2001",2001,121,121,0,100,83.5011569083335,3776.54663872113,454
"2001/2002",2002,120,120,0,100,80.9231338328245,3400.63152794633,692
"2002/2003",2003,120,120,0,100,82.8553518799627,3212.57022048836,743
"2003/2004",2004,120,120,0,100,80.9141925988779,3803.67060283734,526
"2004/2005",2005,121,121,0,100,77.6213853742483,1819.56230223179,881
"2005/2006",2006,120,120,0,100,76.1909090131403,1949.27992754965,818
"2006/2007",2007,120,120,0,100,87.7552443114155,5713.62120927242,212
"2007/2008",2008,120,120,0,100,86.5661875752758,3246.11190894828,433
"2008/2009",2009,121,121,0,100,79.0530023137762,1772.85607273225,788
"2009/2010",2010,120,120,0,100,72.216796596138,3296.66710045328,958
"2010/2011",2011,120,120,0,100,68.7534838818638,2916.96891647065,997
"2011/2012",2012,120,120,0,100,81.0205881763504,3121.14845962124,488
"2012/2013",2013,121,121,0,100,77.2750619005319,2235.61487604165,832
"2013/2014",2014,120,120,0,100,91.2109797139883,3132.57934220415,137
"2014/2015",2015,120,120,0,100,83.9049050715766,2993.69480702048,353
"2015/2016",2016,120,120,0,100,81.5862413880577,6869.52922864398,269
"2016/2017",2017,121,121,0,100,85.0036412863301,2489.48372728191,608
"2017/2018",2018,120,120,0,100,84.2672292313864,2280.21160577377,440
"2018/2019",2019,120,120,0,100,84.409457126003,4571.58036322985,331
