"Station_ID","YEARMODA","Year","Month","Day","Tmin","Tmean","Tmax","Rainfall"
"00003",20000101,2000,1,1,4,5.4,6.4,1.3
"00003",20000102,2000,1,2,4.2,6.9,7.7,0
"00003",20000103,2000,1,3,6.4,6.8,8.7,2.6
"00003",20000104,2000,1,4,6.1,7.2,8.4,7.3
"00003",20000105,2000,1,5,3.1,6.2,8.9,0
"00003",20000106,2000,1,6,5.6,7.8,11.1,2.5
"00003",20000107,2000,1,7,4.6,6.3,8.8,0
"00003",20000108,2000,1,8,4.3,6.2,8.7,0.3
"00003",20000109,2000,1,9,3,4.1,6.4,0
"00003",20000110,2000,1,10,-1.3,-0.1,3.1,0
"00003",20000111,2000,1,11,-1.8,1.1,4.5,0
"00003",20000112,2000,1,12,-1.1,1.4,5.3,0
"00003",20000113,2000,1,13,0.2,2,3.2,0
"00003",20000114,2000,1,14,1.7,3.3,4.2,0
"00003",20000115,2000,1,15,0.4,1.4,3.2,0
"00003",20000116,2000,1,16,-0.5,3,4.4,1.5
"00003",20000117,2000,1,17,3.9,5,5.9,1.6
"00003",20000118,2000,1,18,3.8,4.8,6.4,1.2
"00003",20000119,2000,1,19,2.6,3.1,3.9,0.1
"00003",20000120,2000,1,20,1.7,2.9,3.7,1.5
"00003",20000121,2000,1,21,2.6,3.4,5.3,3.3
"00003",20000122,2000,1,22,1.9,3.2,4.2,4.6
"00003",20000123,2000,1,23,-2.2,-0.3,2.8,0.9
"00003",20000124,2000,1,24,-6.5,-3.4,0.1,0
"00003",20000125,2000,1,25,-4.6,-1,2.5,0
"00003",20000126,2000,1,26,-2.5,1,2.8,0
"00003",20000127,2000,1,27,-0.5,0.8,4.8,0
"00003",20000128,2000,1,28,-2.4,2.5,3.8,4.3
"00003",20000129,2000,1,29,3.8,7.7,9.3,22.2
"00003",20000130,2000,1,30,6.5,8.8,9.9,4.5
"00003",20000131,2000,1,31,8.2,9.2,10.1,0.2
"00003",20000201,2000,2,1,7.6,8.1,10.4,0.2
"00003",20000202,2000,2,2,4.1,5.5,7.6,1.2
"00003",20000203,2000,2,3,3.3,5.2,6.7,0.5
"00003",20000204,2000,2,4,4.7,6.4,7.6,0.8
"00003",20000205,2000,2,5,5.8,11.2,15.9,0
"00003",20000206,2000,2,6,7.6,9,12.3,1.4
"00003",20000207,2000,2,7,5.9,7.6,9.6,2.9
"00003",20000208,2000,2,8,7.1,8.7,11.7,11.8
"00003",20000209,2000,2,9,2.6,4.9,8.3,0.8
"00003",20000210,2000,2,10,3.7,4.9,8.9,7.1
"00003",20000211,2000,2,11,0.9,3.3,7.5,0
"00003",20000212,2000,2,12,1.3,3.8,7.8,10.4
"00003",20000213,2000,2,13,2.9,4.6,8.2,0.1
"00003",20000214,2000,2,14,0.7,5.8,9.3,1.5
"00003",20000215,2000,2,15,4.8,6,8.1,6.9
"00003",20000216,2000,2,16,0.1,2.1,5.3,3.3
"00003",20000217,2000,2,17,0.8,2.4,5.5,1.7
"00003",20000218,2000,2,18,0.3,4.9,6.8,13.9
"00003",20000219,2000,2,19,2.1,3.1,6.4,2.8
"00003",20000220,2000,2,20,0.2,2.1,6.1,0
"00003",20000221,2000,2,21,-0.3,3.6,6.2,0.4
"00003",20000222,2000,2,22,2.1,3.7,7.3,0
"00003",20000223,2000,2,23,2.7,7.5,10.9,0.8
"00003",20000224,2000,2,24,5.9,6.7,10,15.3
"00003",20000225,2000,2,25,3.4,4.8,11,1.1
"00003",20000226,2000,2,26,0.3,3.5,8.7,0
"00003",20000227,2000,2,27,0.7,10,15.5,0
"00003",20000228,2000,2,28,5.5,7.6,13.5,9.8
"00003",20000229,2000,2,29,4.3,6.8,8.4,11.9
"00003",20000301,2000,3,1,2.4,4.2,7.6,4.3
"00003",20000302,2000,3,2,1,4.3,6,1.1
"00003",20000303,2000,3,3,1.7,3.8,8.7,14
"00003",20000304,2000,3,4,-0.8,0.7,3.8,2.6
"00003",20000305,2000,3,5,-1.1,3.4,6,0
"00003",20000306,2000,3,6,1.8,6.8,10.7,0
"00003",20000307,2000,3,7,5.5,8.1,11.3,5.9
"00003",20000308,2000,3,8,7.4,10.4,11.3,4.8
"00003",20000309,2000,3,9,9.1,9.9,11.8,1.7
"00003",20000310,2000,3,10,5,7.8,10.4,0.3
"00003",20000311,2000,3,11,6.9,7.7,9.9,0.3
"00003",20000312,2000,3,12,5.4,6.4,8,0
"00003",20000313,2000,3,13,5.5,8.4,12.4,0.2
"00003",20000314,2000,3,14,4.9,7.6,12,5.2
"00003",20000315,2000,3,15,1.6,4.7,7.9,0.4
"00003",20000316,2000,3,16,4,7.2,8.4,0.4
"00003",20000317,2000,3,17,5.4,7.1,9.1,0.4
"00003",20000318,2000,3,18,4.3,5.3,7.2,2
"00003",20000319,2000,3,19,1.6,3,6.1,0
"00003",20000320,2000,3,20,0.2,5,9.9,0
"00003",20000321,2000,3,21,0.6,7,12.9,0
"00003",20000322,2000,3,22,3.2,10.9,17.4,0
"00003",20000323,2000,3,23,4.8,11,16.3,0
"00003",20000324,2000,3,24,9.5,10,12.1,3.2
"00003",20000325,2000,3,25,7.2,9,12.6,3.4
"00003",20000326,2000,3,26,4,4.9,11.8,1.2
"00003",20000327,2000,3,27,3.1,5.7,9.2,6.3
"00003",20000328,2000,3,28,2.1,2.7,5.5,0.7
"00003",20000329,2000,3,29,1.9,5.2,6.8,4.9
"00003",20000330,2000,3,30,5.3,5.6,6,2.4
"00003",20000331,2000,3,31,4.7,5.4,6.6,0.8
"00003",20000401,2000,4,1,3.4,5.8,9.7,4.1
"00003",20000402,2000,4,2,5.4,10.3,14.7,0
"00003",20000403,2000,4,3,7,12.2,16.4,0
"00003",20000404,2000,4,4,7.9,10.4,17.4,4.4
"00003",20000405,2000,4,5,3,4.1,8.9,0.5
"00003",20000406,2000,4,6,-1.4,4.8,9.4,0
"00003",20000407,2000,4,7,0.8,7.1,12.5,0
"00003",20000408,2000,4,8,1.9,8.4,13.6,0
"00003",20000409,2000,4,9,6.7,9.6,14.8,0
"00003",20000410,2000,4,10,2.2,6.6,12.5,0
"00003",20000411,2000,4,11,3.3,9.2,14,2.1
"00003",20000412,2000,4,12,4.1,6.5,9.9,0.4
"00003",20000413,2000,4,13,3.7,6.3,9.7,5.5
"00003",20000414,2000,4,14,5.1,8.4,12.2,3
"00003",20000415,2000,4,15,5.9,9.7,13.6,0.1
"00003",20000416,2000,4,16,5.6,10.5,16,2.6
"00003",20000417,2000,4,17,8.2,10.3,14.4,0.9
"00003",20000418,2000,4,18,7.8,11,14.9,0
"00003",20000419,2000,4,19,6.7,12.5,17.7,0
"00003",20000420,2000,4,20,7.1,14.9,21.1,0
"00003",20000421,2000,4,21,13.1,15.6,20.9,0
"00003",20000422,2000,4,22,10.3,16.6,23.1,8.1
"00003",20000423,2000,4,23,11.7,12.7,15.6,17.2
"00003",20000424,2000,4,24,8.4,11.8,16.6,0
"00003",20000425,2000,4,25,7.8,15.4,21.5,0
"00003",20000426,2000,4,26,11.3,17.1,23.8,0
"00003",20000427,2000,4,27,12.6,17.8,21.2,0
"00003",20000428,2000,4,28,12.5,18.4,22.5,3.3
"00003",20000429,2000,4,29,11.2,11.8,18.7,0.4
"00003",20000430,2000,4,30,10.4,14.3,19,0
"00003",20000501,2000,5,1,12.3,14.6,18.9,0
"00003",20000502,2000,5,2,10.2,11.8,14.2,0.5
"00003",20000503,2000,5,3,9.9,11.1,11.9,9.8
"00003",20000504,2000,5,4,11.6,14.4,18.2,0
"00003",20000505,2000,5,5,10.3,18.8,24.8,0
"00003",20000506,2000,5,6,13,19.3,26.3,0
"00003",20000507,2000,5,7,12.4,16.3,21.8,10.8
"00003",20000508,2000,5,8,13,17.6,24.9,0
"00003",20000509,2000,5,9,12.3,20,25.7,0
"00003",20000510,2000,5,10,14.1,19.1,26.8,0.7
"00003",20000511,2000,5,11,14.7,18.2,25,1.5
"00003",20000512,2000,5,12,15.1,18.1,22.6,0
"00003",20000513,2000,5,13,13.7,19.4,24.2,0
"00003",20000514,2000,5,14,13.2,20.9,27.4,0
"00003",20000515,2000,5,15,13.8,22.8,28.9,0
"00003",20000516,2000,5,16,17.4,23.5,29.7,4
"00003",20000517,2000,5,17,13.1,14,22.3,1.2
