"Year","pheno","Chill_Tmean","Heat_Tmean","Year_Tmean"
1958,122,2.61088709679839,2.63214285715714,6.90345303868232
1959,98,2.92432432432432,4.64414414414414,9.88182191780822
1960,101,3.14720553305405,4.76297129881982,9.88952135018852
1961,89,4.02767857142857,5.70290178571429,9.57211210382192
1962,117,2.66441441441441,2.57612612612613,8.99425821721918
1963,118,-3.55968468468468,-1.26936936936937,7.18664383561644
1964,116,1.46734234234234,2.4240990990991,8.93359003454918
1965,119,2.42602678571429,2.95401785714286,9.00497260273973
1966,99,2.88468468468468,3.91216216216216,9.34650684931507
1967,102,3.76621621621622,5.14864864864865,9.5595205479452
1968,109,2.15382882882883,3.20540540540541,9.59897540983606
1969,119,1.19174107142857,2.64933035714286,8.82821917808219
1970,127,0.206981981981982,1.35855855855856,8.83897260273973
1971,113,2.28333333333333,2.32612612612613,9.21739726027397
1972,104,3.01306306306306,4.01396396396396,9.21161202185792
1973,123,2.29821428571429,2.54107142857143,8.70013698630137
1974,97,3.33063063063063,5.69189189189189,9.61712328767123
1975,109,6.57117117117117,5.88198198198198,10.3680821917808
1976,111,3.52972972972973,4.19414414414414,10.0837704918033
1977,107,4.0796875,5.15379464285714,10.2484246575342
1978,115,2.24950829302252,3.40634409777928,8.96491896034384
1979,129,0.782432432432432,1.81351351351351,8.3713698630137
1980,108,3.48198198198198,3.67252252252252,9.20040983606557
1981,99,2.54933035714286,4.58571428571429,9.43294520547945
1982,116,1.43693693693694,2.82297297297297,8.85369863013699
1983,102,3.22702702702703,3.8018018018018,9.87424657534247
1984,121,2.82117117117117,3.3509009009009,9.27021857923497
1985,126,0.630357142857143,1.13883928571429,8.54739726027397
1986,125,0.478828828828829,0.890990990990991,8.58931506849315
1987,116,1.52477477477477,1.3981981981982,8.47369863013699
1988,110,4.52747747747748,5.1018018018018,9.88360655737705
1989,98,4.78214285714286,5.81294642857143,10.0997260273973
1990,77,5.00540540540541,6.39099099099099,10.7652054794521
1991,100,2.47342342342342,4.62027027027027,9.14510348137534
1992,105,3.16486486486486,4.74504504504505,10.079781420765
1993,102,3.50133928571429,3.92366071428571,10.1539726027397
1994,104,3.01666666666667,4.78108108108108,9.42712328767123
1995,111,5.36306306306306,5.25675675675676,10.6886301369863
1996,117,0.791441441441441,1.38963963963964,9.26612021857924
1997,98,1.54330357142857,3.67053571428571,9.11561643835616
1998,95,4.75990990990991,6.00900900900901,10.7917808219178
1999,100,3.16346846846847,5.43063063063063,9.88806849315069
2000,105,4.16666666666667,5.39234234234234,11.1368852459016
2001,112,4.28660714285714,4.48705357142857,10.3219178082192
2002,91,3.68693693693694,5.67612612612613,11.0824657534247
2003,104,2.98558558558559,4.13198198198198,10.7753424657534
2004,105,3.99459459459459,4.67927927927928,10.608606557377
2005,104,2.36651785714286,4.76741071428571,10.3802739726027
2006,116,1.48333333333333,2.42477477477477,10.1928767123288
2007,102,6.51666666666667,6.78873873873874,12.4516438356164
2008,106,4.38292792792793,5.30337837837838,10.0872950819672
2009,102,1.68633928571429,3.54441964285714,9.54965753424658
2010,110,2.14567567567568,2.70117117117117,9.59106849315068
2011,94,1.76986486486486,5.05576576576577,10.0424246575342
2012,102,3.57121621621622,4.4763963963964,10.3985928961749
2013,115,2.50575892857143,2.28678571428571,9.13472602739726
2014,90,4.91441441441441,6.95968468468468,11.081904109589
2015,104,3.81130630630631,4.37779279279279,10.4321643835616
2016,117,5.79752252252252,5.17454954954955,10.9037978142076
2017,99,3.39165178571429,5.03674107142857,10.5835205479452
2018,107,3.74581081081081,4.77216216216216,11.0171506849315
2019,96,4.76418918918919,5.70063063063063,11.1350563380282
